"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"result.1" 0.6798 1.1398 2.1664 14.184 25.5772 52.2996666666667 59.8472 111.8632 220.6652 137.141 262.3044 506.8004 237.8124 449.562 886.615 396.3928 720.695 1315.206 574.66 1048.587 1830.483
"result.2" 0.6308 1.0706 2.0524 13.6174 25.4714 52.9188 59.67 110.6194 219.829333333333 142.6398 258.6906 517.5178 239.3912 459.5348 913.7602 362.318000000001 700.903 1354 547.150000000001 1014.6902 1694.678
"result.3" 0.6682 1.1456 2.153 14.1442 25.4156 52.9094 59.4226 111.1752 220.3356 134.9838 259.1778 499.2216 234.7902 462.0064 874.308 391.0952 710.803 1407.055 526.956999999999 990.7334 1799.921
"result.4" 0.6316 1.0814 2.0476 13.5622 25.345 52.7574 59.4684 109.0948 221.1738 134.4962 267.5472 512.4598 235.323 462.317 907.2936 375.049999999999 720.2468 1386.372 526.240999999998 980.6534 1658.606
"result.5" 0.6708 1.1468 2.1654 14.1734 25.558 52.9426 59.3642 110.1944 222.0362 133.4246 262.921 517.3234 238.401 456.572 874.5604 383.607 713.6254 1371.042 548.222000000002 996.8988 1645.295
"result.6" 0.6868 1.1318 2.1538 14.1004 27.2296 53.1764 59.2428 110.732 220.8534 134.1368 267.3286 491.262 246.174 457.8598 858.117 385.305 709.1198 1367.3638 542.191999999999 1020.113 1880.773
"result.7" 0.6394 1.0816 2.143 14.111 25.67 52.7054 57.8269999999999 109.1554 219.2812 138.5014 260.0182 501.98 240.525 441.442 877.4056 381.892 707.878 1370.4786 550.484 983.283 1778.9758
"result.8" 0.627 1.0842 2.0558 13.4804 25.3264 52.9552 58.931 110.57 220.5296 137.3196 253.764 515.7418 248.7358 431.949 849.745999999999 392.5934 719.167 1351.6154 569.495 1020.619 1903.5388
"result.9" 0.6752 1.1512 2.1394 14.1296 25.5978 52.6386 58.031 107.9376 214.947 144.699 254.9398 498.5944 246.4378 459.6128 913.5052 384.7954 722.4716 1355.754 574.5234 998.154000000002 1813.1066
"result.10" 0.6784 1.1468 2.167 14.1886 26.5276 53.006 59.3078 109.6964 220.6952 134.0254 266.7136 499.4974 240.6206 454.5558 904.3444 392.9 719.3568 1367.169 530.4424 899.202 1484.691
