"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"result.1" 13.593 55.9062 233.9836 25.0232 108.2184 440.7624 37.4388000000001 162.2644 637.4532 50.1190000000002 211.9852 843.1168 60.8752 259.3464 1045.155
"result.2" 12.9322 51.557 211.3672 23.1358 99.176 418.1784 35.5418 144.1268 603.341 44.5145999999999 186.4284 783.3428 57.5826000000001 230.6412 945.1558
"result.3" 13.9014 55.3996 216.4722 27.0622 107.3706 446.686 36.1632 153.7216 690.6126 47.832 197.2134 900.3658 61.5593999999997 260.7906 1044.4114
"result.4" 14.0926 54.3664 222.6402 23.914 101.31 449.2004 38.2302 150.1946 648.5734 51.8207999999999 202.3676 841.4788 64.4333999999999 246.5098 1041.9964
"result.5" 11.6556 49.174 235.5278 26.895 111.66 460.1796 37.7836000000001 161.3372 668.9596 50.4274000000001 201.5 871.9966 61.5871999999999 255.4164 1080.467
"result.6" 14.9414 54.0826 241.8776 27.0266 98.8452 449.5226 39.052 162.448 694.6792 48.3962 202.472 899.6996 65.6278000000002 249.1982 1026.4612
"result.7" 14.8002 59.405 241.5452 26.5842 109.9772 448.3564 40.2282000000001 159.8626 679.635 49.5473999999998 205.7838 896.0418 61.4676 261.3966 1060.026
"result.8" 13.0506 50.2322 200.3102 23.2902 98.105 384.4864 31.9386 138.6126 534.4888 44.3457999999999 180.4778 739.2474 54.9128000000001 230.7598 967.0664
"result.9" 14.0028 55.9022 231.9836 27.0822 110.6348 449.0348 37.7314 154.3938 677.7032 49.4506000000001 200.8368 876.8432 61.3080000000002 253.205 1045.3002
"result.10" 13.4498 54.8246 224.194 23.1668 106.553 443.0788 40.6492 160.334 654.8726 49.5317999999999 196.2128 844.1212 63.9374 254.7014 1035.4386
