"","DA01128","DA00755","DA01157","DA01259","DA00886","DA00810","DA00491","DA00153","DA00885","DA00318","DA01211","DA01231","DA00953","DA01223","DA00236","DA01203","DA01441","DA01134","DA00346","DA01467","DA00984","DA01482","DA01255","DA01547","DA01571","DA01072","DA01556","DA00565","DA00812","DA00595","DA00997","DA00165","DA01381","DA01073","DA00382","DA01380","DA00621","DA00884","DA00949","DA01588","DA01076","DA00369","DA00581","DA00721","DA01555","DA00658","DA00908","DA01324","DA00383","DA00673","DA01370","DA00703","DA01044","DA01242","DA01501","DA00678","DA01408","DA00632","DA00955","DA00299","DA00498","DA00815","DA01161","DA00603","DA00927","DA01071","DA01291","DA01495","DA00155","DA00307","DA01024","DA01026","DA01109","DA00530","DA01193","DA00331","DA00687","DA00431","DA00896","DA00926"
"Otu00266",0.02,0,0,4.07,0,0,1,0.01,0,0.01,3,0,0.07,0,0,0,2,0,0,11,0.01,0,0.02,7,0,0,35,0.01,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,0,18,0,0,0,0,0,0.07,0,0,0,0,0.04,0,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,22.57,0,0,0,0,0,0,0.43
"Otu00605",0,0,0,2,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0
"Otu00330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00120",87,5,0.31,0.01,2,0.01,1,0.25,5,0,0.7,0,0.68,2,0.01,2,0.01,22,0.02,0.35,2.75,0.03,3,0.09,0.03,0,0,0.04,1,76,0,0.03,0,0.01,0.51,1,0,2,8.12,0,0,1,0.15,37,78,87.94,0,0,1,0.4,5.46,3,0.32,1,0,1.42,5,0,0,0,0.34,60,0.07,0,1.52,0,1,0.02,0,0,0.01,0,0,0.02,0.12,0.15,0,0.01,14,1.38
"Otu00130",1,22,3,0,0.01,0,0,0,0,0,0.02,0,0,0.02,0,0.01,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"Otu00372",0,0,0.12,0,0,0,0,0,0,0.01,0,0,0.05,0,0.01,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,18,0,0.02,0,0,0,0,0,0,0,0.06,0,0,41,1,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.07
"Otu00218",4,0,0,0.44,0.1,0.01,2,0,0.01,0.01,6,0,0.11,0.03,0,0,0,0,0,0,0.01,0,0,5,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0.1,3,0,0,0,0,0,0,46,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0
"Otu00623",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00078",48,259.18,119,0.14,40,0.04,25,25,167,30,22,5.87,21,4,6,5.61,0.85,11,16,25,16,33,4,26,3,31,0.02,14,82,13,53,2.04,17,2,5,3,57,1,6.44,0,375.19,10.9,27,1.82,3.83,0.01,0,0.02,0.12,4,0,3.42,36,5,0,5,263,0,1,4.5,4,2,57.81,1.76,16,8,3,0,0,3.03,37.7,0.03,0,20,0,3,14,8.64,1,0
"Otu00051",31.49,125.62,33,2,3,3,61.66,219.4,44,10,4,108,3.13,1.39,7,4,3.75,488.82,99,0.02,10,58,5,2,37,264,4,14,19,12.92,12,232,156,2.78,230.92,13,9.72,5,0.02,14,5,12,42,152,1,13,4.81,3,9,5,17,81,0.45,45,106,46,529.18,0.16,13,8,50,16,61,123,0.03,5,34.9,120.32,0.45,11,2,8,5.52,0,51,2,33,0.24,1,4
