"","X100105.518417","X7912.518472","X7848.518594","X7855.518447","X100161.518473","X100195.518533","X7870.518457","X100003.518448","X7847.518410","X7861.518583","X100077.518436","X7844.518483","X7879.518469","X7862.518458","X100107.518577","X100173.518499","X100178.518498","X100074.518549","X7906.518589","X100207.518411","X7910.518536","X100171.518431","X100154.518504","X100102.518495","X100015.518484","X100165.518637","X100092.518547","X100191.518602","X100222.518527","X100226.518568","X7908.518449","X100083.518623","X100158.518625","X100212.518635","X100046.518563","X7860.518628","X100190.518464","X7904.518600","X100101.518475","X100217.518532","X100225.518544","X100144.518438","X7899.518560","X100088.518508","X100200.518491","X100203.518476","X100151.518550","X100084.518559","X100001.518462","X7911.518610","X100091.518616","X100058.518558","X100072.518459","X100168.518433","X100156.518612","X100065.518569","X100085.518596","X100150.518562","X100197.518442","X100087.518466","X7909.518566","X100060.518463","X100163.518435","X7858.518581","X7662.518467","X100234.518587","X100205.518470","X100164.518477","X100209.518521","X100052.518548","X100198.518598","X100176.518428","X100184.518455","X100079.518554","X100075.518638","X100192.518621","X100174.518479","X100100.518579","X100187.518520","X100115.518501"
"188196",0,0,1,0.18,0,1,0.01,0,1,0,0,0.02,0,1,0.02,4,0.01,0.03,0.01,0.05,2,0,0.62,2.09,0.02,2,0.01,0.49,0.02,0,0.02,1,1,0,0.02,0,0,0,0.03,0,0.01,0.01,0.01,1,0,0.01,0.01,1,0.15,0.06,0.01,0.01,3,0.01,0,0,0,0.07,1,0.01,0,0,0,0.01,0,0.04,0.01,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0
"370431",0.01,2,2,1,0,0.14,0,0,1,0.04,3,1,0,0.08,2,0.14,0,0.58,0.01,1,0.11,4,0.53,0.06,0,0.21,0.03,0,0.25,0.75,0.01,1.2,0.01,0.01,3,0,3,0.07,0.01,3,219.34,1,0.01,0.02,0.01,0,0.1,0,0.06,1,0,0.02,3,1.7,1,2.2,0.01,0.02,0.03,8.1,0,2.33,1,0.01,0.03,1,0.01,0.02,14.57,9.83,2,3,0.82,1.83,6.83,2,0.01,3,17,1
"204932",10.76,16.63,2,10,58.11,4,0.04,1.08,6,0.38,14,9,5,8,30,17,11,0.13,5,25.36,3,56,1.85,1.4,0,0.03,11,1,0.24,8,2.35,0.37,1,3.72,0,0.03,4,2,7.15,1.14,0,0,7,0.74,0.03,0.51,0.11,3,0,0.38,27,0.01,0.01,0.01,5,0,0.05,0.07,0,0,5,0.1,0.01,3,3,0.24,0.01,0.01,0,0,0.01,0,0,0,0,0,1.22,0,0,0
"307080",0,0.02,0,1,0,0.01,0.16,0,0,0,0.01,0.01,0,0,0.01,2,0,10,0,0.02,0,1,0,1,0,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0.03,2,0,0.08,0,0.06,0.02,0.01,0,0,0,0,0.01,0.01,4,0,0,0,0,24,0,6,0,1.5,0.43,5,23,0.02,1.7,30.78,0,37
"180248",0,0.25,3.33,0.05,7.22,0,0,0.02,7,9,0,0.09,1,20,0.04,4,0.02,2.95,0.12,28,0.01,0.09,3,0.26,0.01,8.91,15.95,9,1,0.11,1,3,0.79,0.02,0,0,0.05,0,16,0,0,0,4,13.61,11,1,0,0,0.44,0,0,0.01,0,0.02,0.08,4,0.19,0.01,0,0.16,0,0,0,11.79,0,0,2,0.29,0,0,0.13,0,0.02,0,0,0.02,0,0,0,0
"469972",0.01,0,0,0,0.01,0,30.8,0.04,0.03,0.1,0,0.02,0,0,0.02,1,0,3,0.01,0.22,0,0.02,0.01,39,1,1,4,14.7,0.13,0.08,0.01,0.01,1,0.01,2,1,0.01,0.22,0.17,0.23,0,2,0.01,1,0.01,0.03,1,2,1,0.02,0.06,3,12.05,0.37,0,0.22,0,0.06,1,0,0,2,5,0,0,0,1,15,0.05,1,0.19,0,28.23,0,1,0.11,0,0.24,0.01,0.01
"592015",0,0.01,1,0.01,1,0,0.26,0.13,72,0.01,0,0.12,1,1,0.02,0.1,0,0.11,3,0.03,0.04,0,15,6,2,0.56,0.18,0.15,0.06,0,0.01,8,170.47,0,0,0,0,0.01,0.08,0,0.01,0.01,8,3,0.58,0.03,0,0.01,0.43,0,0.96,1.31,0.01,0,0,0,0,0,1,33,0,0,0,0.17,0,0.27,0,0.01,0.01,0.04,0.31,0.05,0,0.05,0,0,0,0,0,0
"188379",0.01,1,5.56,3,1.3,1,0.01,1,19.4,0.05,0.22,32.13,3.1,6,1,3.86,0.29,7.24,5.39,3,0.07,1,3,4.65,4.8,2,7.9,3,1,0.52,0.04,2,1,2.67,0.02,1,2,0.19,1,0.03,19.67,0.03,1,1,35,0.13,0.73,2,0.72,0.02,1,0.01,2,1,1.16,0,1,1,1,22.8,0,1,0,0.7,1,6,0.95,0.05,3.05,0.05,1,2,0.11,0.05,14.85,0.03,1,0,0.02,71.17
"203592",4,0,67,0,2,1,5,1,0.01,1,54,0.01,2.97,0.03,0.01,0.71,2,0.52,0.01,0,0.06,1.09,0.16,1,0.01,0.02,0.01,3,0,0.16,0,1,0.07,0,0.01,0,0,0.01,0,1.21,0,0.01,0.01,0.08,0.02,1,0.09,0.01,29,0,0,1,0,0,0,0,0,0,0,0.01,10,0,0,1.86,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300629",0.03,0.01,2,0,0.01,41,0,0.01,3,0,0.01,0.01,1,0.21,0.01,0.01,0.01,0,0.05,0,1,0,4,0,0,0.04,1,0,0.01,0,0.03,0.06,0.29,1,0.01,0,0.05,6,1,0.01,0.01,0,0.23,0,0.08,0,0.04,0,0,1,0,0,1,0.01,0.13,0,0.01,0,0.02,0,0,0,0,0,0,0.68,0,0,0,0,0.15,0,0.01,0,0,0,0,0,0,0
"179609",0,0.01,0.04,0.01,0.39,0,0.01,1,4,0.07,0,2,0,7,0,0,0.01,0,2,0,0.06,0,0.21,0,0.01,0.04,0.15,0,0,0.01,6,0,2,0.04,0,4,0,0.22,0.14,0.01,0.02,0,2,0.01,0.01,0.03,3,0.03,0,0.01,0.1,0,0.12,1,0,0,0,0.1,0.01,1,0,0.01,0.01,0,0.03,3,0.02,0.02,0,0,0,0.01,0,0.01,0,0,0,0,0,0
"188588",0.18,0.01,0,0.01,0,0,0.48,1,0,1,4,0.01,0,0,0.02,1,0,0.05,0.09,0.04,0,2,0,1,0,0.02,0,0.13,0,0.01,0,0.05,0.01,0,0.01,0.01,0.01,0.03,3,1,0,2,0.01,0,0,0.03,6,0.04,0.76,0.2,1,1,0.55,0,3,1,0,0,0,2,0.01,0.01,0.05,0.01,0,0.09,0,0.08,0.01,0,0.01,0.01,4,0.02,0,0.01,0,0,0,0
"182274",1,0,0.01,0,1,2,0,0,0,0.25,0.05,0,0.01,0,0,0,0,0,0.01,0,0.04,0,0,0.01,0,0,1,0.04,0,0,0,0,2,0.25,0,0,0.63,0,0.01,2,0,0.06,0,0,0.01,0,0.21,0,0.04,2,0,3,0.01,0,1,0.01,1,0,0,0.07,0,0,2,0,0,4,0,0,0,0.04,0,0,1,0,0,0,0,0,0,0
"322235",1.35,22,64,2,0.37,0.01,0.25,38,5.74,0,3.44,289.82,0.07,9,120,170,1,127,60,54,4.37,4,10.31,174.37,55,27,0.78,2,136,140,0.77,78,0.14,1.58,0.01,2.01,0.42,75,0.07,1,0,0.64,1.16,6,1,16.42,0.01,1,300.64,1,1,9,0.46,423,0.03,0.13,81,0.34,3,0.06,32,55.66,0.01,26,0,0,0.11,0.01,0,0.32,377,0,0.1,0,0,71,0,0,1,0
"198434",0.01,1,1,5,1,0.77,0,0.03,0.59,3,0,0.35,0.06,0.19,0.11,1,0.06,0.21,2,3,1,5.77,0.01,0,0,3,1,2,0.07,0.01,0.03,7.45,3,0.02,0.01,0,6,0.03,0.01,0.03,1,0,0.04,0.03,0.01,0,0,0,0.01,3,0.08,0,2,0.01,0.1,0,0,1,0.02,1,0,0,0,0.13,0,8.86,0,0,0.48,0,0,2,0.01,13.3,34.5,0,0,0.01,0,71.17
"304309",2,0.24,0.05,0.04,4,4.46,37,0.08,0,6,1,0.11,1,0.08,2.06,1,0.52,112.47,1,1,1,4.07,0,12,2,19.97,2,391.64,3.88,3,1,3.25,1,0.61,13,22,3,0.5,0.22,1,16,13,0,1,0,0.1,18.66,1,84,6,4.26,108,10,3,4,191.5,0.02,6.78,10.28,6,0.07,44,2.48,0.02,0,63.83,3,4,83,1,0.67,14.03,1.67,122,242,100,12.33,17,0.13,10.17
"198426",0.04,1,4,21.26,12,5,0,9,4,0.04,0.11,12,2.7,1,1,2.8,6.54,12,73,3,2,20,6,0.01,0.33,0.13,0.2,2,8,9.16,22,1.2,33,0.11,2,0.03,0.01,34,2.56,0,0.07,0.12,1,56.95,93.13,13,1,0.1,0,0.98,5,0,7,8,0.01,0.02,0.4,25,23,1,0,0.09,0.02,0.4,0.13,5.8,0.01,0.01,0,1,0.23,0.01,3.95,0.01,0,0.01,0,0,0,0
"292859",0.03,1,1,0.07,0,1,0.04,0.02,0,3,0,0.22,0,0.01,0,0.4,0,1,1,2,0.68,3,0.01,0.8,0.22,0.83,1,0,2,0.51,0.09,2,0.01,2,1,1,3.85,3.84,0.01,0.05,0,0.02,0.01,0.12,0.01,0.01,4,0.03,3,1,0.01,0.01,0.09,1,0.02,0.01,2,0.08,0,0,0,0.01,0.01,0.01,0,0.07,6,0.28,0,0.02,0,0,0.04,0,0,0,0,0,0,0
"104780",0.01,0.04,0.36,0.03,233,0.03,0.01,0.04,0.03,0.02,0.03,2,2,0.05,0.01,0.09,0,0.02,0.01,0.01,0,2,0.04,0,0.09,0.03,0.1,5,0.01,0.2,0,0,5,1,0,0.02,0,0.01,0.05,0,0,0,3,2,1,1,0,0.02,0.02,0,0,0,0,0,0,0,0.03,0.06,3.98,0,0.01,0.06,0,0.95,1,0,0.04,0.01,0,0,0.02,0,0,0,0,0,0.46,0,0,0
"237324",1,0.02,0.01,0,0,1,3.6,1,0,0.09,0.04,0.02,0,0.01,0.14,0.05,0,37,0.13,2,0,1.68,0,8,5,4.19,0.01,2.5,0.91,0.02,0,0.07,0.11,0,0.05,0.05,1,0.02,0.06,0.13,22.17,4,0,3,0,1,0.13,1,5,0.22,0.68,2.56,0.42,15,1,0.02,0.01,0.22,0.71,1,0,4,0.02,0.01,0,4.88,1,9,47,5,0.38,5,0.22,57.97,16,0.23,13.8,122.24,0.01,212
"191306",0,0,0,0,0,2,4,1,0,0.09,0.01,0.01,0,0,0,0.04,0.01,0,1,0,0.03,0,0,0,0.02,0.01,0,0,1,3,0.36,0,0,0,0.01,0.23,0,0.11,0.01,0.21,4,0.02,0.01,0,0.02,1,10,0.33,0,1,0.01,0,0.02,3,0.01,0,0.01,0.01,0,9.78,0,0.01,2,0,0,1,0,0,0.05,0.04,0,2,0.02,1,34.5,0,0,0.01,0,71.17
"151870",0,0.01,0.45,0.05,0.05,0.01,38,0,0.02,0.71,0.09,0,0,4,0.02,0.25,0.82,0.06,0.02,0.01,3,0,0,23,0.04,0.24,0.35,0.02,0,0.02,0.16,2,1,0,0.01,0,0,0,1,0.01,0,0.02,2,1,0.01,0.01,0,0.03,18,11,0,1.74,0,0,0.02,0,0,0,0.08,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349216",0.05,126.41,113.09,3,282.11,0.02,121,53.05,65,37,20.15,76,87.85,0.66,326.04,49,6,234.77,20,4,3,1,27,283.09,23,685.76,1,534,157.14,396.81,0.04,1,131,20.2,7,20.25,0.14,22.7,1.89,0,0,1,369.97,188,16,1.43,89,471,102,0.51,14.28,238.67,0.75,4,0.01,0.25,1.46,147,673.14,0,0.44,1001.55,6,15,15,0,25,167.15,0,130,251,0,0.19,0,0,0.19,5.05,0,0.12,0
