"","X082B","X005B","X009B","X053B","X103B","X052B","X037B","X056B","X020B","X100B","X104B","X087B","X001B","X110B","X108B","X107B","X109B","X112B","X035B","X067B","X128B","X045B","X070B","X019B","X014B","X025B","X169B","X040B","X105B","X028B","X144B","X172B","X003B","X038B","X049B","X170B","X026B","X017B","X004B","X072B","X088B","X093B","X126B","X101B","X187B","X509A","X061B","X078B","X041B","X178B","X012B","X140B","X179B","X150B","X147B","X027B","X176B","X013B","X507A","X016B","X089B","X099B","X186B","X068B","X069B","X030B","X503A","X064B","X148B","X505A","X174B","X142B"
"Otu938",0.12,0.42,0,1,3,0.03,0,0.01,0,18,1,5,0.02,4,0.02,0,0.04,7,5,3,0,0.41,0.02,0.03,0,0,0,0.01,0.33,0.08,0.02,0,0.01,0.4,0,0,0.76,0.04,0.27,0.87,0.01,3,0,0.01,0,0,0,0.01,0.39,0.7,0.01,2,0.01,0.07,0.02,0.03,0.01,0,0,0,0,0,0.01,0,0.12,0,0,0,0.09,0,0,2
"Otu230",0,42,128.55,68,1.99,21,22,33,0.02,0,0,6,0.01,0,78.33,6,11,0,1.46,0.23,0.93,0,0.01,36,0,0.01,5,1.76,0.06,0.02,11,0.02,0.46,0,26,57,0.01,0.15,0,0.13,0.31,0,11,0.01,0,0,0,0,0.03,0,0.05,0,0,0,0,0,0,0.09,0,55,0,0.01,0,0,0,0,0,0,0,0,0,0
"Otu616",1,0,0.06,0.06,0.17,0.01,1,0.12,2,0.19,7,1,2,1.27,0.07,0.02,1,3,3,0.02,2,2.82,5,0.12,0.01,0.14,8,1,0.01,0.13,0,0.05,1,1,0,0.2,9,0.24,1,0.11,0.04,0,0.01,0,0.06,1,0.03,0.18,2.3,0,0.01,0.8,2,0.05,0.04,0.03,0,0.17,0.02,0,0,0.02,0,0.14,0,0,0,0,0,0,0,0
"Otu118",195,66,329,8,50,124.15,2.63,48,114.25,24,4.27,24,39,31,17,25,71,14,68.59,33,46,1,43,50,2.06,135,260.9,0.07,5.52,186,54.9,592.7,100,18,31,9,76,118,3.04,23,97,44.1,11,62.18,57,31,14,14,28.85,22,42.63,54,274.91,71,14.44,25,0,0,0.04,32,4,8.19,0.03,2,0,0.06,2.36,0,0,0,0.12,0.15
"Otu895",0,0.01,0,0,1,0.01,0,0,0,0.06,0.01,0,0,0.07,0,0,0.01,0.02,0.01,0.03,0,0,0,0,0.48,0,0.02,2,0,0,0.07,0,0.01,0,0,0,2,2,8,0,0,0,0,1.13,0,0,0.01,0.04,0.03,0,0,0,0,0.03,3,0,0,23,0.02,0,0,0.01,0,0,0.24,0.01,0.09,0,0,0,0.03,0
"Otu555",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.24,0,3,14,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,1.58,0.01,5,0.01,0.01,0.01,0,0,0,0,0,7,0,0.02,18,15,0,0,0.55,0,0,0.22,0.01,0.08,6,0.01,0.06,0.05,0
"Otu685",0.03,0,0,0,0,0,0,0,0.02,0.01,0.02,0,4,1,0,0,0,0.03,0.01,0,0,4,0.14,0,0.13,50,0.03,0,0,0,0,0.57,0,0.01,0.06,0,0.01,0.01,0,0,0,0,0,0.94,0.03,0,0,0,0,0,0,0,0.02,0.04,0,0,0.02,8,0.01,0.03,0,0.01,0,0,8,0.08,0.93,6,0.37,0.06,0,0.07
"Otu784",0,3,5,1,1,1.3,0.03,2.46,0,0.1,0.04,1,0.01,0.05,3,0,14,0,1,3,0,0,0,0.04,0,0,0.04,0.02,0.07,0.14,0.03,0,0.02,0,0,0.41,0,7,0,2,0,0.03,0,0,0,0,0,0.06,0.68,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu458",0,5,12,0.68,0.06,1,0.04,0.96,0.46,0,0.03,0.09,0,0.02,0.1,0.03,1,0,4,0.01,0,0,0,0,31,0,0.02,0.06,0,0.05,0,0.01,0.23,0,3,1,0,0.05,0.01,0,0.02,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu101",79,0,0.01,0,1.83,0,0,0.01,0,0,0.17,1,13,20,0,0,0.05,16,0.02,4,0,0.74,1.15,0.02,0.31,3.78,0.14,2,0.23,8,0.02,0,0,4.35,0,0,13.25,127,0.8,0.04,0,0.08,0,2.54,0,0,0,3,0.17,0,53,0.21,0,0.61,0,0.34,18,30,0.18,0.03,0,0,8,0.01,0.27,0.56,0.1,3,0.27,12.58,0,0.34
"Otu75",9,0.12,11,8,0.01,0.02,1,0.55,0,0,42,0.56,0.06,47,0,0,36,0.12,60,0.02,0.13,0.09,138,0,0,0.02,0,0.01,121,311,0,0,1.74,19.16,0,0.86,0.02,62.43,89,0.01,0.47,0.06,0,0.03,0,0,0,0.06,0.08,0,9.31,125,0.13,5.77,0,197,0.07,0,0.89,0,0,0,107,6.32,0,63,0,0.02,0,0,0,0
"Otu16",11,0.04,0.07,0,12,0.05,0.02,0.06,14,47,461,0.05,3,23,1,0.01,125,55,1,3.06,0.15,52,41,0,33,14,0.04,4.64,0.34,4.6,0.17,2,387.89,239.24,0.02,5.9,142.1,44,174.08,0.05,1.11,46,0,199.12,165,64,13,37.24,5.99,17,54,4.88,6,135,785.1,0.56,209,93,18.78,103.28,1,135,0.4,2.86,82.34,0.03,130.31,69,16,238,89,14.49
"Otu10",85,1,0.17,0.14,83,0.6,0,0.15,694.42,53.16,3.79,0,0.09,163,0.09,0,58,149,12.36,0.1,0.02,31,0.21,0,252,0.01,0.39,0,0.08,0.09,5,2.19,463,78,247,47.51,130,775.45,741,0.01,0.04,0.94,0,83.21,36.96,0.39,2.09,93,0.03,0,2657.5,4.63,0.01,734,0,108,82,1.65,0.02,0.01,0,0.1,156,20,0.07,58,995,1613,1.08,0.44,0.01,5.04
"Otu705",12,0.21,0.01,0,8,4,0.15,0.13,14,11,1,0.44,0.15,5,1.68,0.72,0.01,17,0.08,0.65,1,1,0.02,1,0,0,0,0.61,1,2,0.27,0,0.01,31,15,0,2.24,0.1,0.19,0,0.02,0,11,0,0.02,3,0.03,0.01,1,0.1,0.01,0.44,0.01,0.18,0.05,0.03,0,0.01,0.01,0,0,1,0,0.04,0,0,0,0.01,0,0,0,2
"Otu242",9,7,1,8,37,19.26,0.86,3.59,17,29,13,6,47,13,10,0.11,44.35,12,31.85,17,1,47,156.83,9,0.11,4,30,2,10,13,2,6.47,3,10,13.26,3,144.39,6,1,18.63,8,10,0.43,1.9,10.73,1.93,2,9,4,19.83,5,1,0.11,58.25,3,2,0.18,0.19,0,26.52,1,0.35,0.9,2,0.09,9,0,0,0.14,0.42,0.03,0.1
"Otu347",0.29,0.34,0.47,0,5,2,4.47,0.65,1,0.36,8,1,0,7,12,0.05,45,0.13,14.08,0.02,0,0.03,0.19,0,0,0.01,0,83,0.01,5,5,0,2.61,1,1.44,43,0,129.61,3,36,102.91,2,0.01,0,0,0.01,5,1,3,0.06,0.04,0.18,0,8.05,0.02,5,0.01,0.02,0,0.14,0.03,0,0,0.01,2,0.03,2,0,1.04,0,0,67
"Otu949",0.01,0,0,0.01,0.01,0,0,0,0.06,1,0.05,0.01,0.04,0.38,0,1,0,1,12,0,0,0.05,0.01,0,0,7,0,0,0,0,0,0.19,0,4,0,0.01,0.1,0.01,0.06,0,0,0,0,0,0,0,0,0.01,7,0.08,0,0.02,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Otu692",3,0.01,0.13,0,1,0.37,0.09,2,0.07,2,0.15,0,0.03,2,6,1,0.07,1,0.12,0.25,1,2,0,0.73,0,0,0,0.04,0,0.03,4,0.01,0,0.7,16.81,1,0.37,2,0.14,0,0.02,0,5,4,0.01,0.01,0,0.01,0.01,3,0,0.07,0,0.07,0.52,0,0.02,0.01,0.02,0,0,0.2,0,0.06,0,0,0,0.04,0,0.04,0.01,0
"Otu804",2,0,0.01,0,0.02,0,1,0.01,0.02,2,0.05,0,0,0.05,2,0,1,0.12,0.05,0.01,0,0,0.1,0,0.58,0.06,0,0,0.01,2,0,5,1,0.04,0,0.08,0,0.08,0.02,0,0,1,0,0.14,1,2,0.11,0.03,0,22,13.53,1,2,18,6,0.13,5,0,0.01,0,0,0.39,3,0.01,0.34,0.18,1.01,1.05,8,0,10.75,1
"Otu503",9,8,1,0.33,4.84,2,23.13,5,0,1,0.03,0.04,0.1,0.01,3,1.05,1.1,0.01,0,2,0.01,0,0,0.22,0.05,3,0.02,0.09,1,0.57,0.04,73,0.02,0.01,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0.01,0,0.07,0.02,0.04,0.01,0.06,0,0,0,0,0,2,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0
"Otu950",0.02,0.47,0,0.01,8,4,3,0.04,0,0.31,0,0.3,0,3,3,0.04,0,0,0.01,4,0,0,0,6,0,0,0,0.14,0,0,0.11,0,0,0.01,0,0,0,0.02,0,7,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu921",0,0,0,2,0,0,1,0,0.01,0.02,0,0,2,0,0,0,0,0.01,0.09,0,0,0.01,0.09,0,0,3,0.01,0,0.04,0.01,0,10.4,2,0,0,0,1,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,1,0,0.02,0.01,0,0,0.01,0,0,3,0,0.01,0,0,0,0,0,0,0,0.16,0,0
"Otu745",0.01,0,0.16,0,0.01,0,0,5,0.02,1,0.01,0,0.01,1,0,0.01,1,0.03,0.16,0.03,0,0,0.05,0.01,1,3,0,0,0,0,0.01,3,0.33,0.01,0,0.04,0,1.59,5,0,0,0.01,0.01,0.02,0.04,0,0.01,0.01,0,0.07,0,1,5,3.62,0,0,0,0.01,0,0.07,0,0,0.01,0,0.02,0,3,0,0,0,0,0.01
"Otu1",398,22,36,27,529.71,4,118.81,436.78,331,19.44,1727,455,1026.17,1861,699.62,46,143,2264,2619,38.2,21,145,1652,29,1026.17,340,65,57,601.84,856,2.19,1516,1142.61,881,312,129,1624,1880.53,1796.99,175,792,689,150.07,3886,41.81,1,482.24,1127,678,0.05,5320,5531,258,485,1181.38,1705,2375,2082,60,67,38,1288.18,137,561.03,3937,1337,2295,3950,4880,7599,19.27,6870
"Otu30",31,0,5.16,0.17,2.43,0.02,0,35,8,1,14,0.02,0.43,526,0.7,22,2,45,228,0.14,10,15.49,0.1,9.79,1,0.05,0.02,0.46,0.02,0.14,0.72,1.67,28,120,17,17,137,2,14,0.02,56,2.62,18,26.16,107,39,115,98.48,216.55,3.2,163,2.01,3,170,55,2.21,15,45.85,0.02,9.96,1,77,0.17,2,40,1.4,282,85,69,29,21,495.91
"Otu86",16,7,5,21,43,2,11.31,15,149.7,107,253.91,75.38,7,23,51.64,5,10,77,90,79.57,2,8,137,12,0.16,14,14,5,7,11,4,74.76,11,21,14,26,44,16,13,3,26,11,12,0.25,25.94,1,3,13,11,16,44.52,5,34,50,3,9,0.24,0.29,0.46,13,5.05,11.46,5,49.87,0.48,0.31,1.9,0.01,11,0,0.21,0
