"","082B","005B","009B","053B","103B","052B","037B","056B","020B","100B","104B","087B","001B","110B","108B","107B","109B","112B","035B","067B","128B","045B","070B","019B","014B","025B","169B","040B","105B","028B","144B","172B","003B","038B","049B","170B","026B","017B","004B","072B","088B","093B","126B","101B","187B","509A","061B","078B","041B","178B","012B","140B","179B","150B","147B","027B","176B","013B","507A","016B","089B","099B","186B","068B","069B","030B","503A","064B","148B","505A","174B","142B"
"Otu383",0,0,0,0,6,0,0,0,0,2,115,7,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu453",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,2,7,0,1,0,3,0
"Otu101",0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,4,0,0,0,0,59,0,0,2,0,8,0,0,0,2,27,0,0,127,0,0,0,0,0,0,0,0,0,3,0,0,53,0,0,0,0,0,18,30,0,0,0,0,8,0,0,0,0,3,0,0,0,0
"Otu619",0,2,0,16,0,7,0,0,0,0,0,0,0,0,1,0,0,0,20,14,1,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"Otu106",40,0,128,39,118,5,137,39,0,27,221,127,0,2,0,0,92,0,18,48,3,0,26,0,24,154,24,0,43,0,0,0,0,8,16,0,0,0,0,41,5,0,3,0,52,0,46,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu1",0,0,36,0,517,0,7,98,331,0,1727,455,0,1861,177,46,0,2264,0,0,0,145,1652,29,0,340,65,0,0,856,9,1516,1327,881,312,129,1624,0,502,175,792,689,0,3886,0,1,468,1127,678,436,0,5531,258,485,0,1705,2375,2082,60,67,38,3307,137,61,0,1337,2295,3950,4880,7599,0,0
"Otu218",2,11,0,18,4,0,0,32,1,0,3,0,0,1,103,0,2,0,0,6,5,0,4,1,0,0,0,0,1,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu149",1,0,239,9,4,0,0,0,14,2,0,0,0,0,0,0,0,0,11,0,0,18,0,0,128,5,0,0,1,1,0,11,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu923",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,6,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Otu397",2,9,0,1,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Otu529",23,0,17,0,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,27,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu486",0,5,32,0,8,0,0,24,0,0,30,0,1,0,0,0,0,0,0,22,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu518",0,0,0,0,3,0,0,3,0,4,0,0,7,0,2,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu605",0,0,0,0,11,19,0,0,0,0,0,0,0,0,61,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu401",0,0,0,0,15,0,0,8,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu65",0,193,9,0,0,0,0,40,0,0,0,7,0,0,1,29,0,0,76,0,32,0,37,0,0,2,27,0,53,0,0,0,0,0,0,0,50,100,0,0,29,0,0,259,0,0,0,8,0,0,305,0,0,0,0,0,83,0,1108,17,0,112,0,0,16,0,0,0,0,0,81,15
"Otu356",29,18,22,0,2,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,1,0,28,6,0,0,0,0,0,0,13,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu456",0,0,16,0,0,0,0,1,33,57,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu306",0,0,0,3,0,2,0,64,0,0,0,58,0,0,125,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu635",5,1,0,2,1,0,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,9,2,0,0,0,3,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,4,0,0,0,3,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Otu517",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
"Otu285",5,0,9,0,91,0,0,0,0,0,0,17,0,0,2,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,5
"Otu51",0,0,0,5,0,0,0,7,525,139,118,0,21,36,0,0,0,0,0,0,0,55,69,0,0,18,105,25,19,6,67,132,9,0,0,0,0,150,0,0,0,0,0,0,93,25,0,0,0,18,37,3,0,0,1553,6,0,2,213,17,0,0,8,0,0,6,0,52,0,0,191,0
"Otu133",153,6,0,0,451,8,16,0,0,0,0,429,0,0,2,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu75",9,0,11,8,0,1,1,0,0,0,42,0,0,47,0,0,36,0,0,0,151,0,138,0,0,0,0,0,121,311,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,125,0,0,0,197,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
"Otu768",0,0,0,0,3,5,2,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu905",0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu427",0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu117",0,1,94,0,0,0,0,0,533,0,0,0,0,0,220,12,0,0,0,0,0,0,0,22,0,0,0,0,0,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu131",0,1,0,24,0,0,0,0,0,272,0,0,3,0,0,0,0,120,0,9,0,0,97,0,0,0,0,0,36,0,0,0,14,662,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu682",0,7,0,1,14,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu818",2,0,1,0,8,0,1,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu355",0,0,0,0,0,0,0,2,0,0,0,0,62,0,1,0,25,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,19,4,0,3,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Otu472",0,0,4,3,0,4,0,1,10,0,2,1,5,1,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3,12,0,1,0,0,1,0,0,0,3,0,0,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu678",0,0,0,0,11,0,3,1,7,4,0,0,0,0,6,4,0,10,0,0,0,0,5,9,0,0,4,0,0,1,10,0,2,0,0,0,0,0,0,0,0,0,5,0,0,6,0,16,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0
"Otu270",179,0,32,0,0,1,2,34,0,0,0,6,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu104",0,0,0,0,0,0,0,0,20,145,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,865,0,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu147",0,0,6,1,3,0,0,1,1,1,7,4,0,0,0,0,2,0,0,0,0,0,9,1,0,12,0,0,0,2,0,3,0,2,0,0,11,6,5,0,8,0,0,7,0,4,2,0,0,7,2,8,0,0,3,5,2,0,35,0,0,2,0,0,0,8,0,7,0,31,0,0
"Otu79",0,1,1,11,2,0,0,0,0,0,0,0,50,18,0,0,56,0,17,80,0,118,48,0,0,3,0,2,0,18,0,99,32,14,0,3,0,31,0,0,0,0,0,90,82,11,43,3,0,32,0,14,172,0,6,0,5,0,0,10,0,0,4,0,0,1,0,0,0,0,0,0
"Otu208",0,12,45,5,37,20,0,253,0,0,0,0,0,0,0,77,0,0,0,313,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu488",0,0,2,0,6,0,0,0,5,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,14,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,8,2,0
"Otu62",0,0,230,0,0,28,8,4,568,1,0,33,44,0,94,10,28,0,0,10,0,0,247,155,52,16,88,0,0,0,0,72,402,0,0,1,0,0,0,0,0,57,33,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,21,0,0,0,0,0,0,0,0,0,153,0
"Otu154",9,0,0,82,0,0,0,0,0,0,0,0,4,0,0,0,0,37,0,0,0,0,0,0,0,67,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu291",6,0,0,1,8,0,0,0,72,27,1,0,0,0,0,0,0,0,0,0,0,153,0,0,1,47,0,0,0,0,0,6,0,48,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu500",0,0,0,1,0,0,0,0,1,4,0,0,1,0,8,0,0,2,4,0,0,0,0,1,3,0,0,3,0,2,1,4,3,5,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,7,0,2,3,0,0,0,0,0,0,4
"Otu8",0,88,0,95,483,97,217,85,25,270,242,191,0,644,67,0,416,205,727,0,0,192,0,34,4,24,3,374,0,63,39,26,249,17,593,0,557,0,146,127,812,414,23,78,65,0,0,0,178,24,862,0,309,20,91,108,100,0,29,113,152,0,13,195,1238,0,325,261,100,67,301,26
"Otu287",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,1,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,0,1,0,0,0,1,0,0
"Otu953",3,0,1,0,0,0,0,2,2,2,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,9,0,1,0,1,12,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu342",0,0,0,0,1,0,0,0,97,30,0,0,3,0,0,0,0,33,0,0,0,0,81,0,0,81,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu157",5,0,0,0,394,0,0,0,0,0,0,0,92,0,0,0,97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,15,0,0,0,118,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu188",22,33,0,26,3,0,8,0,20,32,20,4,0,106,14,0,17,49,144,17,10,5,54,16,0,4,18,37,26,0,44,37,4,0,0,25,23,8,39,0,20,32,7,26,11,5,7,0,48,3,62,53,0,17,0,77,6,0,0,18,10,8,11,0,73,30,14,26,0,0,19,10
"Otu4",1342,1514,0,4349,0,4024,5124,5114,0,0,0,0,0,1,4071,5919,4354,5,0,3629,4383,0,0,5748,0,0,420,2569,2119,3627,4786,0,0,0,3108,0,0,0,0,6059,4390,0,0,0,0,0,8708,4986,2855,5154,0,0,0,0,0,4644,6,0,0,0,7372,0,5994,7326,0,0,0,0,0,0,0,3640
"Otu98",126,0,20,64,184,24,352,13,0,0,0,0,0,48,103,0,208,0,0,0,163,0,0,41,0,0,0,168,0,0,34,0,0,0,0,0,0,0,583,18,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,120,0,59,0,25,21,0,0,16,0,0,0,0,0,0,0,0
"Otu14",0,0,0,70,0,0,0,0,142,0,0,1,0,66,70,0,23,114,982,0,0,0,0,0,1,0,0,0,0,0,1,31,757,0,0,79,0,1060,0,0,0,1,0,0,0,0,481,175,319,0,0,0,0,86,7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
"Otu490",7,41,6,10,6,0,3,6,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu674",1,0,0,3,7,0,0,2,0,7,0,1,0,0,12,0,0,14,0,0,0,0,0,0,0,0,2,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu21",350,208,888,319,316,170,300,336,0,265,251,424,0,0,0,0,417,115,1578,0,0,506,492,128,0,94,153,340,174,684,144,602,254,441,0,142,254,0,172,245,598,123,74,509,545,64,280,960,353,153,153,167,330,248,352,286,0,199,4,93,143,162,0,59,0,151,0,49,0,0,44,0
"Otu22",36,24,6,0,135,9,0,12,0,57,6,73,0,43,14,4,19,57,167,24,4,83,81,18,39,0,5,9,25,75,7,0,101,9,7,20,58,620,191,33,45,6,0,148,104,73,0,30,0,20,0,29,0,14,24,21,6,159,0,3,1,61,0,4,128,49,0,82,0,86,0,23
"Otu326",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,2,0,2,0,0,0,13,2,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu236",0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,11,3,4,0,0,7,0,2,0,0,2,3,0,4,81,50,0,1,0,2,1,6,3,37,2,0,4,0,0
"Otu411",0,0,3,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,13,0,0,7,0,0
"Otu436",0,2,1,0,0,1,8,1,0,0,0,2,0,3,14,2,24,0,0,12,0,1,2,0,0,0,0,11,0,0,0,6,0,0,0,44,0,0,6,51,0,1,0,0,0,0,1,7,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,25,0,0,1,0,0,0,88
"Otu115",0,0,0,0,0,3,0,0,0,0,0,65,0,1,1,0,49,0,0,0,0,0,0,4,0,0,361,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0
"Otu616",1,1,0,0,2,0,1,0,2,0,0,1,2,0,0,0,0,3,3,0,2,0,5,0,0,0,8,1,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Otu189",0,15,0,0,0,2,0,0,0,0,0,2,0,1,9,0,4,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,389,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu819",2,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
