"","ESC.1.15.OPR.279514","ESC.1.24.OPL.279654","ESC.1.34.OPR.279524","ESC.1.33.OPL.279468","ESC.1.9a.OPL.279644","ESC.1.28.OPR.279603","ESC.1.62.OPL.279669","ESC.1.53.OPL.279544","ESC.1.45.OPL.279704","ESC.1.28.OPL.279617","ESC.1.34.OPL.279562","ESC.1.42.OPL.279703","ESC.1.49.OPL.279522","ESC.1.72.OPR.279523","ESC.1.61.OPR.279506","ESC.1.45.OPR.279442","ESC.1.65.OPL.279620","ESC.1.55.OPR.279483","ESC.1.60.OPR.279487","ESC.1.71.OPR.279471","ESC.1.35.OPR.279455","ESC.1.68.OPR.279573","ESC.1.20.OPL.279671","ESC.1.23.OPL.279686","ESC.1.44.OPR.279527","ESC.1.63.OPL.279420","ESC.1.37.OPR.279696","ESC.1.47.OPL.279646","ESC.1.49.OPR.279650","ESC.1.26.OPR.279484","ESC.1.43.OPL.279611","ESC.1.53.OPR.279665","ESC.1.1.OPR.279601","ESC.1.65.OPR.279502","ESC.1.26.OPL.279470","ESC.1.17.OPR.279511","ESC.1.29.OPL.279486","ESC.1.55.OPL.279670","ESC.1.48.OPR.279680","ESC.1.71.OPL.279661","ESC.1.61.OPL.279525","ESC.1.43.OPR.279635","ESC.1.50.OPL.279499","ESC.1.69.OPL.279699","ESC.1.38.OPR.279528","ESC.1.56.OPR.279444","ESC.1.62.OPR.279652","ESC.1.17.OPL.279551","ESC.1.19.OPL.279430","ESC.1.22.OPR.279421","ESC.1.32.OPL.279633","ESC.1.72.OPL.279581","ESC.1.51.OPR.279561","ESC.1.20a.OPL.279437","ESC.1.30.OPL.279456","ESC.1.48.OPL.279572","ESC.1.59.OPR.279629","ESC.1.5.OPR.279659","ESC.1.24.OPR.279606","ESC.1.44.OPL.279532","ESC.1.64.OPR.279439","ESC.1.30.OPR.279564","ESC.1.47.OPR.279560","ESC.1.50.OPR.279637","ESC.1.20.OPR.279692","ESC.1.39.OPL.279608","ESC.1.51.OPL.279500","ESC.1.60.OPL.279582","ESC.1.64.OPL.279491","ESC.1.46.OPL.279623","ESC.1.56.OPL.279540","ESC.1.33.OPR.279647","ESC.1.1.OPL.279586","ESC.1.58.OPL.279556","ESC.1.37.OPL.279622","ESC.1.40.OPL.279667","ESC.1.46.OPR.279457","ESC.1.31.OPL.279464","ESC.1.19.OPR.279460","ESC.1.52.OPR.279589"
"71434",3,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"556087",215.45,10,114,41,92,62,29,24,55,39,97,11,103,15.76,5,54,2,7,15,23,11,68,7,97.85,0.25,99,25,22,42,27,16,4,393.95,8,28,2,10,12,27,11,5.1,21,2,19,471.79,8,9,7,8,3.66,235.9,22,1,21.04,43,92,15,0.32,6,6,25.48,48,8,2,18.09,1,8.39,3,0.24,3,0.06,0.42,1,4,15,1,1,1.78,37.34,5
"542642",0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0.12,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"470429",0,0,0,0,0,2,0,2,0,0.01,0,0,0,1,82,0,0,0.04,0,0,0,0,0,0,16,0,0,0,0.04,0,0,0.11,0,0,0.01,78,0,0.12,0,0,23,1,0.03,0,0,0.03,0,6,0,0.01,0,0,0,0,0.01,0.02,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.02,0,8
"544854",0.03,1,3,1,0.1,4,4,0,1,1,2,1,1,1,0.04,3.72,0,0.01,0,0.15,0.04,0,0,0,0,1.09,2,0,0.01,1.3,0.04,1,0.1,0.02,1.12,0.07,1,0,0.04,0.11,0,1,1,3.61,1.04,0.01,0,0,1,0.05,0.48,1,0,0,0,3,1,0.02,0.01,0,1,0.01,0,0.01,0,0.12,0.01,0,0.01,0,0,0.01,2.64,0,1,0.01,0,1,1,0.01
"172962",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.02,0.02,0,0,0.01,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"253550",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0,0,0.01,0,0,0,0,40,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,2,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0
"246752",1,0.02,1,0.01,4,0,1,0,0.06,1,0.01,0,3,1,0,2,0,0,0,0.01,0,0,0,0,0,1,0.01,0,1,0,0,0.68,1,0,1,1,0,0,1,0,0,0,0.01,0,0.14,0,0,1,0.01,0,0,0,0,0,3,0.4,0,0,0,0,0,1,0,0,4,0.07,0,0,0,0,0,0,0.01,0,0,0,0,0,1,0
"14157",0,0.02,0,0,0,2,3,2,1,0.1,0,0,0,0.01,0.02,0.99,0,5,14,0,0,0,2,2,0.58,0.01,0,0,0,0,0,0,0,0,0,0.01,5.27,0.01,0,0.11,4,0.02,0,0,0.01,7,0,0,0.01,0,0.07,0,1,10,0,0.02,0.01,5,0,0,0.04,0,0.01,0.09,0,8,0.03,2,1,0,0,0,0,0,0,7,0,12,0,0.01
"361304",98,0,0,1,0,0,0.01,0,0.03,0,1,0,1,0.02,0.01,0,0,2,0,1,0,0,0,0.01,2,0.32,0,0,0,0,0,0.04,0,0,0,0,0,0.01,2,0,1,0,0,0,1,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0,0,0,0,0,0,0,0
"351148",0,1,0.01,0.02,1.72,0.03,1.78,0,1,1,2,1,1,0.42,0,0.16,0,1,0,0.59,0.01,0,0,0,0,6,2,0,1,0,0.04,0,0.02,0,0.02,1,0.03,0.02,0.01,0.11,0,0,0.02,1.33,4,0,0.01,0.5,0,0.25,0.04,0.01,0,0,1,0,3,0,0,0,0.07,0.31,2,0.03,1,1,0,0,0,0,0,0,1,0,1,0,0,0.01,0,0.02
