"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",0,1,4,0,0,12,0,1,0,38,2,0,0,4,1,0,9,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,5,0,0,24,0,98,35,0,0,0,0,0,0,0,1,10,0,8,0,0,11,1,3,0,0,0,0,0,7,32,4,8,2,0
"2",0,6,10,10,0,59,33,34,50,50,3,2,4,0,13,5,9,140,18,1,0,3,92,195,39,0,7,0,6,26,3,8,213,0,25,0,5,3,0,5,6,163,125,6,63,22,12,0,59,24,55,20,19,1,2,1,2,66,14,7,1,8,0,1,0,0,38,16,7,1,310,15,0,39,8,32,33,3,3,0
"3",1,0,0,25,0,10,5,12,25,8,0,3,0,0,1,5,3,0,41,0,0,3,2,21,10,0,1,1,0,15,0,0,9,0,2,0,2,8,0,0,0,222,29,3,1,0,1,0,40,20,11,0,49,2,0,0,0,1,0,3,0,7,0,4,0,0,23,1,2,0,65,4,0,36,2,20,4,0,0,0
"4",0,0,11,0,0,11,23,0,0,50,0,2,0,0,3,0,1,0,0,0,0,2,16,2,0,0,0,0,0,0,0,0,21,1,9,0,0,0,0,1,0,0,11,0,0,0,10,0,2,0,14,2,3,1,0,0,0,0,29,16,0,1,0,0,0,0,0,0,0,0,8,3,0,0,5,0,6,5,1,0
"5",5,0,4,3,0,5,0,7,14,0,1,2,4,1,1,3,16,18,37,0,0,0,51,29,4,0,3,0,0,1,0,20,25,2,2,0,2,6,0,0,1,76,9,7,12,17,8,0,5,72,17,8,2,0,2,0,3,19,1,3,0,0,0,4,0,0,11,0,0,3,15,10,0,5,11,11,0,2,0,0
"6",1,0,2,1,0,8,3,13,6,0,0,1,0,0,22,0,6,0,0,0,0,0,0,3,0,0,6,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,30,0,11,3,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,12,0,5,8,1,1,4,3,0,3,0,0
"7",0,1,0,6,0,4,6,13,16,41,0,0,5,0,5,3,0,3,40,0,1,0,4,14,4,0,1,0,5,5,11,3,48,2,4,0,0,1,0,0,0,91,29,2,12,4,6,0,4,30,1,8,16,0,1,0,0,43,1,2,0,46,0,0,0,0,69,14,1,6,117,3,0,13,10,4,2,2,0,0
"8",21,15,0,7,2,28,27,175,65,15,0,2,19,1,3,26,8,118,68,1,5,60,40,114,67,2,6,0,36,61,24,48,190,3,36,0,3,1,0,0,7,892,47,50,241,64,2,1,81,169,0,3,0,0,16,8,0,74,0,4,0,0,0,5,1,0,0,0,0,5,801,2,0,163,4,4,9,9,0,1
"9",6,0,1,3,0,9,38,19,0,3,0,3,0,0,20,3,15,14,110,0,1,10,5,32,23,0,5,0,5,2,2,3,7,1,0,0,1,1,0,1,3,160,2,5,32,9,7,0,28,14,38,4,0,0,3,0,0,14,0,6,0,3,0,2,0,0,9,16,0,1,198,0,1,2,4,63,13,12,0,1
"10",0,0,11,0,0,0,10,0,86,11,2,4,6,1,1,1,23,13,19,0,1,0,0,8,5,0,13,0,4,4,4,7,11,2,4,0,0,0,0,0,1,8,93,1,6,6,0,0,0,9,0,10,4,1,1,0,0,19,0,7,0,7,0,1,0,0,0,7,10,0,84,7,0,4,2,15,7,5,0,0
