"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",52,4,51,81,98,0,0,0,4,6,5,2,39,0,0,21,46,61,0,62,21,21,19,0,12,7,122,27,3,64,86,13,2,118,0,60,18,2,16,5,56,150,1,23,46,0,0,4,1,8,0,0,52,0,14,1,0,0,4,2,3,29,0,156,9,2,2,29,12,1,30,10,1,1,0,33,75,19,0,0
"2",20,12,3,11,51,57,0,8,0,0,1,0,5,0,0,0,50,4,0,22,9,3,8,0,0,4,35,0,0,51,10,6,0,2,15,47,0,65,4,3,8,16,2,0,0,0,4,0,0,8,0,0,1,0,0,3,1,0,1,0,3,32,0,73,17,0,0,12,0,0,12,60,1,0,2,0,64,0,5,7
"3",2,0,9,84,0,0,0,0,0,1,5,2,56,0,0,0,12,10,0,11,0,0,0,0,1,0,10,11,1,4,2,5,0,2,23,0,9,6,12,1,1,5,0,13,2,0,1,0,0,1,0,0,4,0,0,1,0,0,6,0,2,0,0,13,0,0,0,3,0,0,8,1,0,0,0,0,54,25,3,1
"4",0,1,0,0,0,0,1,6,0,0,0,0,142,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,25,18,22,2,0,0,0,0,0,0,1,53,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,22,1,1,0,0,3,0,1,0,0,13,0,0,1,0,7,0,3,1,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,10,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,7
"6",0,0,0,0,16,0,0,1,0,3,3,0,0,0,0,11,61,3,1,11,0,6,0,0,0,2,16,1,0,0,0,0,1,1,0,11,0,1,0,2,0,1,2,11,0,0,0,0,0,5,0,0,10,0,0,1,0,0,0,0,1,15,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0,2
"7",0,0,0,1,1,60,0,8,0,2,7,0,6,0,0,23,18,6,0,8,4,25,0,0,0,0,0,1,0,0,11,2,1,10,1,0,3,1,10,2,0,0,0,1,9,0,0,0,0,5,0,0,4,2,0,3,0,0,1,4,0,4,0,0,0,1,0,5,0,0,0,0,3,0,0,2,13,0,2,21
"8",22,0,20,0,50,179,0,7,0,0,0,3,0,0,1,3,0,0,3,15,28,13,7,0,0,0,6,4,4,1,35,0,0,0,19,0,0,3,0,0,0,119,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,1,17,0,0,22,8,0,0,0,0,0,0,0,1,7,1,34
"9",4,2,1,0,0,0,0,8,0,1,2,0,43,0,0,26,0,1,1,0,0,1,0,0,0,0,7,0,0,4,0,0,0,2,0,0,0,0,0,0,3,13,0,3,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,12,1,0,0,5,0,0,0,0
"10",0,0,0,21,0,6,0,0,2,15,0,0,14,0,0,7,0,21,0,1,0,2,1,0,0,4,0,0,0,4,7,9,0,0,1,35,0,0,8,6,2,5,0,0,46,0,0,0,1,5,0,0,0,2,0,1,0,0,0,0,0,43,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,5
"11",25,0,0,38,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,13,1,0,6,0,20,0,0,5,0,9,34,0,0,26,0,0,1,0,0,1,17,26,1,0,49,0,1,0,0,0,1,0,0,0,0,22,0,0,0,1,0,39,2,1,0,0,0,4,0,0,6,5,0,0,0,0,2,0,0,0
"12",8,2,46,139,38,659,1,35,0,70,56,3,812,0,1,283,428,211,3,44,9,36,1,0,20,5,118,10,2,28,5,20,2,27,196,19,8,32,12,13,195,38,14,29,22,0,0,1,1,72,10,0,127,83,1,9,9,0,39,10,2,29,81,5,125,8,7,8,3,2,11,9,5,19,1,129,216,2,50,16
"13",0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,35,1,0,9,14,15,28,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,21,0,7,30,0,10,47,0,2,0,0,0,0,0,0,0,5,9,5,1,23,0,0,7,1,13,0,0,0,1,0,0,25,41,0,0,0,6,0,0,0,12
"14",9,0,28,105,0,1,0,27,0,0,0,2,24,0,0,22,5,4,1,0,0,0,0,0,1,1,0,1,1,0,2,0,1,20,1,0,1,0,9,0,0,4,0,0,19,0,0,0,0,0,0,0,18,0,0,2,5,0,1,0,0,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"15",0,7,0,16,0,1,0,12,0,8,0,14,65,0,0,0,1,1,9,0,1,0,0,0,1,0,42,0,10,61,81,2,14,41,15,0,4,0,1,1,2,0,0,27,2,0,4,0,0,33,0,1,0,2,0,0,0,0,0,2,0,8,0,2,8,2,1,0,0,0,23,0,1,0,0,0,0,0,5,0
"16",11,0,11,13,6,17,0,78,1,2,2,6,13,0,0,16,38,11,0,0,1,28,2,0,1,0,5,12,2,16,13,4,6,10,1,24,12,1,0,6,1,0,0,3,47,0,0,1,0,12,0,0,2,2,0,17,4,0,0,2,0,10,1,24,3,2,0,11,6,0,5,8,0,0,0,0,32,2,0,5
"17",68,0,116,0,0,237,5,0,2,43,41,14,0,0,0,0,196,0,0,129,62,57,0,0,59,8,144,12,10,106,0,33,0,0,0,19,58,16,38,54,0,105,4,2,0,0,3,0,0,40,4,0,0,0,3,0,10,5,14,0,6,236,0,196,0,0,0,36,0,2,120,0,2,5,0,4,0,0,10,97
"18",0,0,57,1,1,77,1,0,1,47,3,0,0,0,0,6,74,2,1,2,3,9,2,0,27,3,0,5,0,0,16,4,8,111,65,38,2,5,10,6,8,29,2,14,84,0,4,2,0,0,0,0,9,0,0,4,1,0,0,0,3,59,3,140,10,2,0,24,1,0,1,0,0,1,3,50,33,0,11,5
