"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",0.16,5,0.11,0,0.02,1,0.02,4,2.12,0.5,13,0.97,0.08,38,0,0.06,0.45,3,0.02,2.16,18,0.46,7,0.03,1,2,1,1,0.1,12,0,0,0.97,1,0.12,0,2,8,0,0.22,2.04,0.24,5,0.09,2,0,0,1,0.02,0,0,0.06,23,2,0,0.23,0.8,5,5,0,0.22,1,3.81,2.47,18,0,0,0.26,0.02,14.69,0.16,0,10,0.01,0.59,0,2,1,0,0
"2",12,81,0.55,4,26.38,131,0.08,18,12,1.48,9,1.22,3,4,0,0.33,1,8.52,0.04,0.9,99,21,23,2.75,2,0.21,131,1.68,2.39,0.47,0,0.03,2,3,0.46,1,51,11,0,2,4.41,12,31,0.25,1,0.01,0,3,0.13,0.24,5.72,0.05,111,2,0,40,138,6,2.25,0,26,1.84,6,2.45,6,3,0.05,11,0.26,27,3.32,0,1,3,1.18,0,28.14,5.02,0,0
"3",10,18,2,0,2.08,21,1.15,34,0.74,1.12,2,1.22,4,7,0,0.15,12,27,0.03,0.44,0.35,2,37,2,4,3,18,3,0.09,0.53,0,0,9,1.03,0.57,0,2.27,1,1,2,4,0.24,2,1,0.17,0,0,7,0.02,0,0,0.14,1.25,2,0,0.88,0.51,0.02,1,0,3.53,1,9,0.98,1.79,4.66,0.05,0.26,0.19,2,0.34,1.71,1,2,1.18,0,0.39,3,0,0.2
"4",0.14,7,10,0.05,0.34,0.23,1,3,0.01,0.55,1.73,1.07,0.06,2,0,2,2,65,6,2,62,0.07,0.32,1,1,0.02,13,16,1,19,0,0.03,2,1.03,0.13,0,0.06,7,0,0.02,6,3,1.01,1.31,1,0.03,0,13,1,0.06,1,9,0.2,0.02,1,2,0.34,6,1,0,3,0.5,0.29,1.1,0.99,0.42,0,0.03,0.1,1.84,0.12,0,0.19,0.54,0.65,0,0.61,0.59,0.05,0
"5",50,122,26,5,16.06,200,13,361.75,18,3,98,1.36,29,60,0,20,120.69,219,3,108,233.75,40,143,27,49,10,80.91,149.49,123,122,4.47,5,317.18,1,0.94,0.05,13.13,30,0,6,142.78,17,98,4.73,41,7,4,6,3,8,2,23,306.9,16.77,5,34,6,7,29,0,15,22,43,20,84,3,12.47,27,27,59,31,0,45,9,1.18,0,12,89,16.94,0
"6",0.19,4,2,0,0.04,1.2,11,1,4,17,1,33,2,1,1,0.07,0.37,1,0.05,0.88,0.3,0.03,1,0.04,10,0.23,0.71,9,0.24,4,19,0.92,3,34,4,40,0.03,26,7,0.02,6,0.1,3,6,2,0,17,0.63,0.14,1,0,8,3,0.18,1,0.12,0.21,0.12,0.03,14,2,1,6,7,0.45,0.02,0,0.01,2,1,1,12,0.13,0.34,20,0,12,4,0,18
"7",25.03,25,1,1,2,204,1,27,1,1.12,113.62,1.34,9,76,0,9,39,12,1.7,5,3,6,7,3.35,90,22.93,11,95.91,223.36,13,1,4,42,1.44,0.91,1,37.62,14,0,3.45,213.68,22,28,2,2,1,1,3,2,65.67,3,1,24,7,4,9,14,44.95,5,0.01,5,9,23,1503,25,4,1,4.01,41,30,1,0,3,6.34,1.18,0,5,8,0.13,0
"8",0.01,1,0,0,0,0.06,0,0.02,2,1.38,41,1.37,0,0.05,0,1,0.01,0.06,0.01,0.04,0.02,0.01,11,0,0.02,0,3,0.01,0.01,15,0,1,2,1.03,1,0,0.01,0.02,1.75,0,0.01,3,0.07,0,0.02,1,0,2,1,0.05,0,0.01,0.04,0,0,0.01,0.02,0.01,0,0,0.01,1,0.17,0.07,0.02,0,0,0,0.01,0,11,3,0,0,2.13,0,2,0.02,0,0
"9",92,29,35,20,46,292,73,64,4,3,463,3,49,221,0,37,170,408,11,49,225,59,23,55,36,3,2804,115,111,25,2,120,101,7,1,4,64,7,7,7,619,51,425,37,30,3,17,150,37,3,50,79,374,21,15,121,48,15,171,1,95,509,209,312,298,13,5,43,14,102,105,12,152,21,4,1,55,27,15,18
"10",1,0.03,0.31,2,0.11,0.08,0.01,19,0.03,1,0.07,1.22,0.01,0.08,0,0.16,0.24,2,0.02,5,26,5,10,2,5,0.02,17,0.04,41,5,0,0,13,1.22,0.24,0,0.03,1.14,0,0,1.32,0.09,0.11,0.01,0.01,0,0,1.17,1,0,0,0.06,5,0,0.1,19,0.45,0.02,4,0,1,0.11,0.06,137,0.14,4,0.01,2,0.27,0.03,4.86,0,0.1,1,1.18,0,1,0.08,1.36,0
