"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",1.47,7,1.31,3.37,9,20,22,2,1,11,0,1,11.8,0.11,5,5,0,12,0,0.02,1.07,2,1,8,0.55,21,16,3,1,1,0,28,3,0.66,1,16,4.96,16,0.02,25.08,4.18,0.23,0.91,0.73,2,12,18,2,6,1.73,7,1,0,3.05,2,0,3.62,3,5,0,2.57,4,0.02,11,81.55,0,0.1,0.64,8,0.23,3,3,0,140,11.1,0.03,1,8,3,4.87
"2",3,11,4,10,3,292,121,10,5,45,0,7,25,0.54,0.88,28,0,7,0,0,0.37,13,1.49,147,0,15,2,2,5,7.61,0,26,28,1,0,5.39,16,13,3.1,1,2,0.35,0.75,0.6,7,2.68,8,0.67,47,1,5,0,0.01,1.09,9.8,0.07,1.85,0,19,0,3,16,1,42,66.94,0,0.26,0.52,26,0.64,32.19,6,0,86,1,0,5,101,7.7,5.98
"3",1,3,1,1.8,19,7,45,1,3,1,1,9,19.63,3,6,3,0,7,0,0,1,2.76,1,18,0.58,12.49,8,0.01,8.62,1,0,3,19.1,2,0.97,34,0.22,28,4.46,1,0.07,2,0.97,0.78,1,152.69,440,0.05,1,1.85,50,0,1.67,9,38.52,0.09,25,11.1,20,0,0.42,19,0,4,87.31,0,8.84,0.68,1.96,8,5,2,0,8,18,0,1,1,3,314
"4",14,1.98,2.65,5,7,1.9,3.97,0.06,0,5,0.54,2,1.26,37.62,3,0.05,0.01,11,1,0,41,27,1.42,1,0,12,7,0.08,0.53,6,0,73,2,12,0,11,0,0.04,5,65,1,8,0.71,0.57,0.01,14,102.51,0.28,0.19,0,53,0,3,13,1,7,24,3,0.16,0,0,11.57,0,37.32,63.67,0,15,0.5,0.15,23,5.54,0.86,1,5.77,96,0,0,10.51,0.13,229
"5",1.84,1,1.66,3.37,9,35,6,3,1,12,0.01,104,3,1,3,4,0,7,0,0,0.25,1.48,0.87,48,0,4,3.96,3.26,0.62,18.28,0,8,19,0.95,0,2,2.35,24,0.02,2.9,2,2,0.43,0.35,3.16,5,14.21,0,18,0.83,13.62,0,1,1,3,0.01,1,0.01,6,0,1,17,0,54,39,0,0.13,0.3,4,0.56,1,5,0,13,11,0,2,5,2,3
"6",3,17,7.25,0.32,14.49,136,88,8,0.23,27,1,3,11,0.53,6.95,8,0,5,0,0,1,9.78,0,3,0,68,10,3,1,10,0,30,6,4,0,23,4,16,1.09,1.49,0,0.73,0.56,0.45,4,63.31,69.45,0,16,0,68.3,0.04,0.03,1,9,0.03,4,0.1,65,0,2,14.83,1,23,50.35,0,2.77,0.39,19,2,1.42,8,0,9,7,0,11,85,11,27
"7",3,1,2,1.34,5,3,6,2,0.25,63,0,13,8,1,4,5,0,9,0,0,1,4,0,16,0,37,2,0.12,2,2,0,51,6.21,5,0,15,1,15,3.57,33.12,0,0.57,0.24,0.19,0.99,40.64,37,2.05,1,0,21.71,0,0,22,4,0.01,3,1.15,18,0,1,14,0,1,21.69,0,6,0.17,4,11,8,1,0,7.55,36.53,0,1,35,0.99,78
"8",7.89,0.39,1.21,2,12,1.04,7.1,0.09,0,34,1,22,1.07,3,16,0.03,0,13,0,0.24,30,3.83,2.06,51,0,28,1,0,0.29,10,0,6,0.34,2.15,0,158,0,0.06,3,76.42,3,15,1.03,0.82,0,173,58,1,0.07,0,27,0.04,1.93,58,0.85,1,7,8,0.09,0,0,9.86,1,28,92.31,0,12,0.72,0.13,88,1.23,3.07,0,32.96,29,1,0,5.3,0.15,46
"9",1,3,1,6.62,1,23,24,1,0.01,13,0,10.21,9,1.46,11.26,3.79,0,6,0,0.01,22,3,0,27,0,26,3.83,4,1,12.19,0,22,4,13.54,0,20.12,0.08,4,4,28,0,0.55,0.33,0.26,2,37,7.31,1,11,0,20,0,0.22,15,5,0.07,3,0.39,5,0,2.69,2,0.01,2,29.45,0,0.2,0.23,6.7,6,11,1,0,4,1,0.02,1.57,65,0.08,2
"10",6,0.35,0.05,8,8,1,1.52,0.01,0,7,1,192.37,4.28,5,29,0.02,0,1.25,0,0,36,0.39,0,64.69,0,28.76,0.23,0,1,4,0,5.35,0.49,6,0,9,0,0.02,6,19,0,8,0.85,0.68,0.01,81,40,0.01,0.08,0,47,0,1,51,1.72,1,102,9,0.09,0,0,2.99,0,110,75.84,0,10,0.59,0.01,15,3,1,0,17.28,92,4,0,10.78,5,91
