"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"result.1" 0 0 0 0 0.72 0.740740740740741 0.730769230769231 1 0 0.571428571428571 0.714285714285714 1 1 1
"result.2" 0 0.181818181818182 0.166666666666667 0.166666666666667 0.761904761904762 0.75609756097561 0.75609756097561 1 0.9 1 1 1 1 1
"result.3" 0.0909090909090909 0 0 0 0.642857142857143 0.642857142857143 0.615384615384615 1 0.9 0.9 0.9 1 1 1
"result.4" 0.130434782608696 0 0 0 0.801980198019802 0.80952380952381 0.80952380952381 1 0.95 0.95 1 1 1 1
"result.5" 0.0222222222222222 0.0638297872340425 0.0638297872340425 0.0833333333333333 0.572815533980582 0.580952380952381 0.572815533980582 1 1 1 1 1 1 1
"result.6" 0.0869565217391304 0.0735294117647059 0.0869565217391304 0.125 0.692682926829268 0.697115384615385 0.7 1 1 1 1 1 1 1
"result.1" 0 0 0 0 0.692307692307692 0.703703703703704 0.703703703703704 1 0 1 1 1 1 1
"result.2" 0.25 0 0 0 0.714285714285714 0.7 0.714285714285714 1 0.166666666666667 0.833333333333333 1 1 1 1
"result.3" 0.0434782608695652 0 0 0.0869565217391304 0.786407766990291 0.784313725490196 0.79047619047619 1 0.954545454545455 0.954545454545455 0.954545454545455 1 1 1
"result.4" 0.238095238095238 0 0 0 0.768115942028985 0.786666666666667 0.780821917808219 1 0.9375 0.9375 1 1 1 1
"result.5" 0.0425531914893617 0.0227272727272727 0.0444444444444444 0.0217391304347826 0.357142857142857 0.407894736842105 0.391891891891892 1 0.955555555555556 0.955555555555556 1 1 1 1
"result.6" 0.0188679245283019 0.0188679245283019 0.037037037037037 0.0188679245283019 0.648648648648649 0.641379310344828 0.638888888888889 1 1 1 1 1 1 1
"result.1" 0 0 0 0 0 0 0 1 0 0 1 1 1 1
"result.2" 0.230769230769231 0 0 0.181818181818182 0.705882352941177 0.722222222222222 0.705882352941177 1 0.9 0.9 0.9 1 1 1
"result.3" 0 0 0 0 0.802197802197802 0.797752808988764 0.802197802197802 1 0 0 0.944444444444444 1 1 1
"result.4" 0.115384615384615 0 0 0 0.762886597938144 0.767676767676768 0.767676767676768 1 0.869565217391304 0.869565217391304 0.91304347826087 1 1 1
"result.5" 0.12 0.0222222222222222 0.0222222222222222 0.0434782608695652 0.482352941176471 0.482352941176471 0.488372093023256 1 1 1 1 1 1 1
"result.6" 0 0 0 0 0.577981651376147 0.592920353982301 0.589285714285714 1 1 1 1 1 1 1
"result.1" 0 0 0 0 0.714285714285714 0.714285714285714 0.714285714285714 1 0.5 0.5 0.75 1 1 1
"result.2" 0.214285714285714 0 0 0 0.694444444444444 0.731707317073171 0.731707317073171 1 0.272727272727273 0.272727272727273 0.272727272727273 1 1 1
"result.3" 0.0555555555555556 0 0 0 0.527777777777778 0.451612903225806 0.451612903225806 1 0.470588235294118 0.588235294117647 0.764705882352941 1 1 1
"result.4" 0 0 0 0 0.634146341463415 0.651162790697674 0.659090909090909 1 1 1 1 1 1 1
"result.5" 0.0476190476190476 0.0476190476190476 0.0476190476190476 0.0769230769230769 0.454545454545455 0.473684210526316 0.469026548672566 1 1 1 1 1 1 1
"result.6" 0.0196078431372549 0 0 0 0.565217391304348 0.514563106796116 0.532710280373832 1 1 1 1 1 1 1
"result.1" 0 0 0 0 0.666666666666667 0.705882352941177 0.666666666666667 1 0 0.2 0.2 1 1 1
"result.2" 0 0 0.125 0.125 0.631578947368421 0.631578947368421 0.65 1 1 1 1 1 1 1
"result.3" 0.0666666666666667 0 0 0 0.714285714285714 0.711340206185567 0.722772277227723 1 0.571428571428571 0.857142857142857 0.857142857142857 1 1 1
"result.4" 0 0 0 0 0.768518518518518 0.766355140186916 0.766355140186916 1 0.92 0.96 0.96 1 1 1
"result.5" 0.134328358208955 0.0169491525423729 0 0 0.472727272727273 0.512605042016807 0.516666666666667 1 1 1 1 1 1 1
"result.6" 0.0425531914893617 0.0217391304347826 0 0 0.615384615384615 0.615384615384615 0.598214285714286 1 1 1 1 1 1 1
