"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"result.1" 12.329 125.913 64.515 18.84 49.714 182.808 25.074 76.729 208.43 28.6600000000001 72.922 184.185 39.2470000000001 72.6680000000001 212.926 37.8309999999999 80.5649999999998 363.786 39.569 90.1699999999998 166.157
"result.2" 13.617 148.147 110.715 18.304 64.392 173.893 26.97 62.21 206.366 29.961 65.882 218.317 37.6029999999998 86.346 205.622 38.134 99.835 194.836 47.1099999999999 90.6199999999999 240.973
"result.3" 10.689 152.358 53.207 21.259 56.607 201.03 27.415 48.406 198.624 31.3770000000001 67.9830000000001 239.972 32.1590000000001 83.211 231.887 28.6310000000001 81.6909999999998 239.424 41.6500000000001 106.449 195.001
"result.4" 13.731 148.711 72.903 21.911 62.907 156.449 24.3219999999999 57.748 199.749 28.313 70.885 196.203 40.0439999999999 87.7469999999998 245.678 33.8520000000001 87.51 205.793 44.654 122.33 200.04
"result.5" 13.468 139.13 74.464 20.577 63.087 139.294 26.351 62.87 184.445 29.83 71.5500000000001 197.258 34.847 75.6179999999999 207.32 38.4350000000002 83.97 255.748 45.7859999999998 67.491 191.866
"result.6" 13.148 165.831 50.067 20.855 57.909 189.77 23.206 72.177 174.106 33.032 66.787 212.333 33.6299999999999 70.2259999999999 210.512 34.6489999999999 78.0699999999999 295.675 36.6909999999998 76.625 217.679
"result.7" 13.419 150.53 62.676 19.459 59.95 192.62 25.792 75.099 194.416 30.953 69.394 204.556 36.2550000000001 85.202 254.881 41.568 83.6570000000002 286.536 37.817 91.9000000000001 179.514
"result.8" 11.397 129.47 45.418 23.068 61.455 174.962 24.817 68.602 175.91 31.381 67.324 205.59 38.11 73.358 218.327 38.3820000000001 73.876 227.841 41.9639999999999 108.338 213.846
"result.9" 12.396 128.284 63.481 23.688 64.989 188.034 22.372 64.266 200.377 28.85 66.874 217.523 41.0709999999999 81.7649999999999 254.826 38.088 94.895 228.795 38.136 79.1510000000001 191.071
"result.10" 12.508 151.799 50.088 22.586 52.172 189.023 24.867 70.456 193.236 29.058 75.5079999999999 196.953 37.367 71.3580000000002 238.929 39.8670000000002 90.5829999999999 264.227 32.961 87.4109999999998 192.005
