"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"result.1" 11.075 119.965 60.729 17.654 36.31 138.539 20.879 70.666 187.294 30.9920000000001 66.549 196.919 30.5269999999999 55.665 278.849 30.604 76.5720000000001 254.039 40.3409999999999 85.385 195.354
"result.2" 11.713 124.998 84.997 17.693 47.393 160.975 15.809 63.061 177.58 27.495 53.281 190.466 26.255 69.814 166.257 32.0040000000001 96.0059999999999 258.912 45.403 85.935 204.404
"result.3" 9.688 127.793 44.053 16.643 45.031 135.108 24.642 63.774 172.688 24.254 69.133 265.321 32.0759999999999 64.1860000000001 177.399 29.636 81.5350000000001 213.142 37.184 85.5079999999998 196.69
"result.4" 10.841 128.97 65.58 17.126 55.18 162.704 21.004 46.051 174.753 25.313 52.115 193.496 28.663 69.869 188.987 28.45 65.096 203.654 44.0049999999999 81.6759999999999 226.162
"result.5" 11.133 137.181 57.209 16.138 47.556 148.186 21.115 67.186 167.447 25.075 64.635 235.865 30.934 86.796 204.208 31.8200000000002 76.1210000000001 200.525 38.298 87.9960000000001 185.276
"result.6" 10.693 124.235 61.402 17.144 59.783 156.258 20.505 55.551 209.638 24.293 56.5550000000001 175.01 27.979 70.6150000000001 179.146 34.8989999999999 74.7920000000001 249.394 43.2750000000001 74.4869999999999 188.45
"result.7" 11.162 130.543 40.912 13.755 48.439 134.9 21.301 35.823 172.686 27.0069999999999 65.237 206.624 17.1189999999999 66.429 160.139 30.876 85.799 207.577 36.8209999999999 82.058 202.815
"result.8" 10.94 125.423 74.852 15.22 44.764 136.932 20.53 52.002 164.85 25.7539999999999 61.8290000000001 194.777 28.674 63.475 204.48 34.454 98.0550000000001 172.708 35.6479999999999 86.1410000000001 233.794
"result.9" 10.545 140.116 64.073 20.939 42.349 119.725 19.864 51.305 175.524 26.8 71.382 204.998 32.515 64.494 187.715 38.337 70.1099999999999 207.183 34.683 97.3530000000001 200.35
"result.10" 10.925 119.162 51.41 16.804 50.535 169.761 19.586 58.587 159.578 24.776 63.792 161.554 31.718 76.846 210.049 32.348 82.1260000000002 225.063 40.171 77.087 198.862
