"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144"
"result.1" 0.0460518374887345 0.000729535225581391 0.127198106723914 0.233029361485581 0.00740001524588305 0.0281031428872155 0.253797866315879 0.130624864811747 0.257520677966102 0.0430331674302387 0.000727629289590677 0.14401517254228 0.239081766684652 0.00769443935967527 0.0293343570847485 0.253924958229155 0.133421657089582 0.266758418079096 0.0234665544152625 0.000410073511632181 0.122840424463858 0.228576438747456 0.0068036962225826 0.0266738438997574 0.224425839866969 0.126648829625358 0.257093672316384 0.0207665034091078 0.000418452022966559 0.143417071002382 0.23407933200076 0.0071391099649854 0.0277737723312488 0.224969105814236 0.129502878860353 0.262934011299435 1.1356836022134 0.0187934061951916 1.2237673491371 0.824758513546924 0.133610790509305 0.287873560157753 1.94412610658713 0.589367505501894 0.375499209039548 0.924702947692935 0.0251344635446955 1.32938477195849 0.837560950444617 0.164511666882828 0.300531714865712 1.72448871838475 0.599597275107715 0.374207457627119 2.1265840554549 0.0173437592855169 1.13647046469424 0.830401897972224 0.0846634903650454 0.280494219607109 2.01615569437225 0.577019372897198 0.208537740112994 2.126519412692 0.0173446734696135 1.13660819723994 0.83040967998156 0.0846608485325471 0.280502255670899 2.01625716581268 0.577025193930958 0.208555254237288 0.0106373974280245 0.000120785763007166 0.00322125467166838 0.00328020414674026 0.000253618749329825 0.00092737905087875 0.0125375045036801 0.00188604105085396 0.00105566409156707 0.0104113277929698 0.000120523309026024 0.00338791324398076 0.00323767789450543 0.000257874260804352 0.000929076534290438 0.012475366643947 0.00187651533958551 0.000995296747007168 0.00108580677619562 2.61091051555974e-05 0.00202270714252637 0.00137906089955905 0.000132068150390606 0.000377407580371222 0.00335930036483494 0.000899244521051652 0.000991853532946984 0.000894210022625251 2.49948512841863e-05 0.00261600750137465 0.00141613422866407 0.000142484257078677 0.000392201277523392 0.00334054106206562 0.000925897254588134 0.00095925864171923 0.0211115588418262 0.00139370244003393 0.0262984365494509 0.00391619779515455 0.003926434614674 0.00256599337278492 0.0214300872739679 0.00346209207416179 0.00107144450173041 0.0199360007719278 0.00230982181041897 0.0233592948794921 0.00419272701136526 0.00574504101793873 0.00287309345541374 0.0217156346937138 0.00359748283774355 0.000973014637954741 0.0212468114895673 0.000478253502351521 0.0127865001059693 0.00304327432135262 0.00149706826020886 0.00221370952893377 0.0204565920460453 0.00281100017839238 0.00324350964285473 0.0212519711608179 0.000478203374926171 0.0127961960996829 0.00304341232541952 0.00149689570046225 0.00221394274616787 0.0204506416347978 0.00281095848442234 0.00324906133034882
"result.2" 0.0567178894683987 0.000687066964603096 0.130801903104592 0.239476622254864 0.00733617189568082 0.0295635388902377 0.255360164499248 0.133881858039639 0.255549152542373 0.0536352539446004 0.000694206599344141 0.147250326480488 0.24569614841323 0.00768498674178087 0.0308698019055867 0.257306514136168 0.137060057371989 0.264365084745763 0.0224010160784976 0.000390967974301531 0.126915532432889 0.231232495858515 0.00688345706386983 0.027300601255292 0.215169211420608 0.128735081112031 0.257598418079096 0.0199126136771138 0.000387363204228789 Inf 0.236682629977268 0.00716662850682538 0.0283906153892274 0.216412465333775 0.131543113333556 0.262333107344633 1.18838780802267 0.0167692983421355 1.14428875167148 0.820566408165841 0.118182340555414 0.281536998133962 1.994052006551 0.586827575099132 0.375429378531073 0.911771190947828 0.0260061528545158 1.39098551638226 0.844475004075681 0.170085037051406 0.301962819771715 1.65580107793379 0.605115627446609 0.375087005649718 2.05676346109664 0.0167948420164017 1.12912371541562 0.828716073794218 0.0819771016892832 0.27919306556784 1.94823023684211 0.574344960980613 0.207040903954802 2.05630472560269 0.0167946568374873 1.12932148595057 0.828748240755355 0.0819966989421013 0.27921754282822 1.94810348597221 0.574372811262284 0.20833593220339 0.0120641507004616 0.00012420254284286 0.00375792168692829 0.00411043819417217 0.000240511406632139 0.00114744535915917 0.012945062580969 0.00231918538808437 0.00100865128410686 0.0118101048870249 0.000122781259520014 0.00382619193978445 0.00403757735195174 0.00023889787076495 0.00114306919340138 0.012705593441316 0.00229511171696833 0.000960119324247121 0.00094375127945109 4.33772927066939e-05 0.00234437198736906 0.0015704811475287 0.000142666806657273 0.000425285106522212 0.00377494940202849 0.00109038665270424 0.000886490041485351 0.000791456139598262 3.79924608674912e-05 Inf 0.0015834999604808 0.000144683801968427 0.000437132447019886 0.00353255574221663 0.00109784790336401 0.000866898046745194 0.0187571035673092 0.000807860746947581 0.0112292330952365 0.00321861049250357 0.00242840456650799 0.00203095405140232 0.0205364325035457 0.00287060039432314 0.000980524947416663 0.0187762427544099 0.0029135068167943 0.0362650195812474 0.00459752632364842 0.00693760255275879 0.00307220993029056 0.0237844520374693 0.00372547850320786 0.000932441308208795 0.0201753338887689 0.000536166615561991 0.0114741827348571 0.00284031994888834 0.00139639931756437 0.0020169595160356 0.019169522813064 0.0026621954946612 0.00260716554561572 0.0202308945494216 0.000536439212057273 0.0114832368503977 0.00284661604658492 0.00139691337629278 0.00202048587366411 0.0192130618233802 0.0026701973318465 0.00277674486428792
"result.3" 0.0584241655580447 0.000783648122256309 0.128871687107347 0.23801754190457 0.00744344175976036 0.0288781209621009 0.26794483119004 0.1324642982645 0.175629830508475 0.055173635834933 0.000787952777318253 0.14526509760563 0.243582090448432 0.00775064083532511 0.0300309689412424 0.269304366898639 0.135213653964687 0.179481242937853 0.0214431887232099 0.000384178854438484 0.120868118782506 0.229006707125907 0.00663259048414581 0.026222529295958 0.220753801079126 0.125804526642021 0.174575706214689 0.0191514379871034 0.000385992462362673 0.139983397617279 0.234265451085014 0.00688802175002072 0.0272885416290129 0.221244620031118 0.128403033175397 0.177774802259887 1.15402284532403 0.0192066083168152 1.18718871259716 0.819641962369112 0.131607208126161 0.283932005330299 1.98296668624654 0.585093619612108 0.287668474576271 0.877923764531223 0.0236039969637914 1.32765020665378 0.837690385582171 0.168266509936004 0.300060570737719 1.70577164924316 0.598774251510705 0.28635615819209 2.12685109643258 0.017702876238485 1.1495216873971 0.833424115670806 0.0857074680256058 0.282084233396072 2.02288069746626 0.578577666110314 0.169691638418079 2.12666753380279 0.0177028214406427 1.14945663756453 0.833404328435834 0.0857058560196404 0.282070406139216 2.02284927115483 0.578556169413509 0.169281468926554 0.0130922433035263 0.000114624887484977 0.00376571421439128 0.00438278444079019 0.000264033823920638 0.00117868556942307 0.0147339531151265 0.00243712649661286 0.000938983622487252 0.0127745798691507 0.000113271012587659 0.00385928650039664 0.00428756258391461 0.000262348475382279 0.00116723248222194 0.0145145675545358 0.00240433054705929 0.000915843792175006 0.00087498329085957 2.43500164251244e-05 0.00210763111096334 0.0015235251645127 0.000131401207270703 0.000395633037076278 0.00328618625291729 0.000996035987585275 0.000956803586840891 0.000750249499372305 2.29823478103981e-05 0.00270108357959663 0.00153469432424521 0.000134179757407495 0.000406168882249457 0.00322343922645653 0.0010042344026413 0.000966888560504972 0.0193963008100429 0.00112293279600915 0.0172951832008463 0.00394327632971259 0.0038219092503475 0.00260012227529998 0.0203409646997586 0.0033791640710632 0.000769131783461858 0.0214739433020578 0.00170808492421475 0.024224465253661 0.00445720644858012 0.00566530837813862 0.00304725689224521 0.019966666356764 0.00377355145036008 0.000721731008629926 0.0214400360798154 0.00042106870851535 0.0106929673324395 0.0027766417897029 0.00127299610527852 0.00196700895434733 0.0192653915552343 0.00272696306456505 0.00302543623968107 0.0214693597496397 0.000421186407671429 0.0106974259835628 0.00277858106686177 0.00127296882723473 0.00196792450934434 0.0192790945629902 0.00272886941969651 0.0030216911590211
"result.4" 0.0464994386279342 0.000667904040767818 0.124280036521282 0.234664582015717 0.00712475116975996 0.0278102102120919 0.247910108996297 0.130568905228812 0.175402485875706 0.0437677423903077 0.000676882286288374 0.14016440209604 0.240540279127776 0.00742907884849089 0.0290377995740829 0.249963808976917 0.133431675578629 0.179723276836158 0.0209832618786854 0.00037924332680259 0.12162875167405 0.228919843488183 0.0066978369915241 0.0262815560544683 0.212567914392217 0.126470789290934 0.176686779661017 0.0186158105287767 0.000378818347842008 Inf 0.234500477170161 0.0069449288343787 0.0274043555319483 0.213290907568586 0.129063052544786 0.179793446327684 1.17135144425341 0.0171149129442574 1.14067945934622 0.82037252903263 0.119374824665016 0.280589744095966 2.00593509334653 0.58626159148421 0.289502485875706 0.924407186235172 0.0278713132637336 1.3972288055603 0.849256214114508 0.17360792295974 0.30437565998676 1.67817971409053 0.608834495768947 0.289151751412429 2.06474512337524 0.0178094445026756 1.13316163442653 0.829021106759467 0.0835965799194912 0.27878143702632 1.96201423968267 0.573684428573765 0.174344519774011 2.0648815100049 0.0178091415777846 1.13308816748859 0.828999912343738 0.0835901459218307 0.278773014819117 1.96200653186086 0.573661658760314 0.174547005649718 0.00976292408132629 0.000101672825070317 0.00300138704610807 0.00361523977511614 0.000211179691707978 0.000937987973628072 0.0111994315263221 0.0019785883075485 0.000949080175945183 0.00951496897622441 0.000104292990514565 0.00315788792626116 0.00354505636871344 0.000213832405337507 0.000930217993884765 0.0110768982613752 0.00196841491668483 0.00085447755069875 0.000942630630387528 4.27411170201998e-05 0.00193383177393404 0.00130711168813531 0.000141577800632373 0.000364105033212603 0.00345595398654542 0.000902161086193582 0.00091471571876567 0.000780771248852624 4.02383312510982e-05 Inf 0.00134260805796765 0.000143811104696793 0.000376646380482805 0.00326336623278481 0.000902230355130573 0.000946751556231334 0.0184760464743818 0.000702803517766467 0.0129040263027702 0.00346346406118474 0.00293096275755962 0.0022143252000562 0.0188814099100708 0.0029784895331336 0.000937608061102124 0.0225677856460282 0.00265626058555082 0.0295998121967869 0.00508426272511515 0.00599692316721627 0.00332314872108394 0.0248383224425836 0.00429151260214066 0.000894608364700903 0.0224780692183872 0.000598855702103159 0.0119278720737971 0.00286596166671457 0.0014381451865571 0.00204473257683021 0.0202595277688807 0.00265799507650231 0.00340972932018629 0.022477586152474 0.000598948265770527 0.011911986996684 0.00286398623998576 0.00143711930071434 0.00204266477281315 0.0202919124106098 0.00265632067996714 0.00343320994254692
"result.5" 0.0613929337615157 0.000233603728754956 0.15515776320733 0.233202963587655 0.00645547299767268 0.0260936767153297 0.201040623520438 0.127159846621707 0.051085988700565 0.0642865050858802 0.000235260309850784 0.212324069129519 0.237620632132646 0.00675993369245783 0.0288601931969883 0.203716788953711 0.129797593600866 0.0520344632768362 0.0527034500628942 0.000136588939012027 0.14000790888917 0.223737476344302 0.00576565787939177 0.0229353692232115 0.173012879043418 0.111770860989639 0.0506428248587571 0.0557370072378933 0.000143677927880782 0.209108741416115 0.226569424425412 0.00602725199379645 0.0249732891225581 0.175607181205448 0.11399460629126 0.0514455367231638 0.636214227184362 0.0112356459064244 0.877679746293572 0.813348827016384 0.0917720677891798 0.210482176241968 1.60447826774052 0.560510775342117 0.148020903954802 0.601741098075809 0.0151415834582243 0.932313031883658 0.805159281949471 0.106006835277407 0.216264561557959 1.47534600767492 0.551520084306574 0.146600338983051 1.13464015588221 0.00776426147776554 0.90924621132539 0.859819001919133 0.0663195191723641 0.224248439986453 1.53744471510284 0.602048462769857 0.0876458757062147 1.13504527368782 0.00776591141170841 0.909035014497955 0.85978465284519 0.066299236901793 0.224219542971615 1.53791613820459 0.602028777266799 0.0874959322033898 0.00406880050496451 4.24388523338313e-05 0.00314989835565049 0.00461489209011888 0.000169036666565039 0.000486453028487648 0.0084941289478938 0.00228126528125233 0.00089467337338935 0.00386897564160373 4.25193368261778e-05 0.0047498820156794 0.00457400487151535 0.000172176833785882 0.000480161277881461 0.00833946178203165 0.00226619696852031 0.000910605709876643 0.00133632010123868 6.49433100602589e-06 0.00310456629397612 0.00151672909895637 0.000120265572088103 0.000387225987152145 0.00257691874752728 0.000886010245522472 0.000859088125467197 0.00137385750622443 6.57414699369144e-06 0.00531748167461132 0.00152153484678839 0.000125242309012878 0.000405549333087284 0.00253570497120014 0.000905775199000245 0.000872548368976149 0.0154003665118372 0.00147547673690341 0.0170983456430164 0.00483577808062043 0.0031260383225175 0.00250214969147128 0.0199201566786502 0.00450500203318278 0.000830528085110923 0.0197990605265593 0.00220929665915625 0.021812250530854 0.00429370073974252 0.00438535615896246 0.00249481122564009 0.0248698456104891 0.00401087988074884 0.000745870867578127 0.0103469893647605 0.000150687839542524 0.00664767398522763 0.00254732548876061 0.000759450992249378 0.00135269704768606 0.0161418419214731 0.00243309274208037 0.00214949701149653 0.0103105224900701 0.000150646238092194 0.00663696657314527 0.00254547870750228 0.000758590018878605 0.00135173282951803 0.0161176222738447 0.00243157630331531 0.00212892212417728
"result.6" 0.0395374684256285 0.000356871936422742 0.144276327113509 0.234916648849324 0.00635680389984723 0.0248089029876597 0.200284082332646 0.126293361031227 0.0474798870056497 0.0407496675200826 0.000354071900553095 0.190769256634786 0.239093044543142 0.00662655109679449 0.0271247771183108 0.202104267113853 0.128781276327813 0.0481867796610169 0.0287849601294352 0.000133727142948552 0.142834474980374 0.229643462442377 0.00578709864343532 0.023345975699866 0.182514275112243 0.115618762782631 0.0478680225988701 0.0303129906905992 0.000136686599661804 Inf 0.232273786214091 0.0060014718087708 0.0250124363502354 0.183523458746161 0.117647082263308 0.0483989830508475 0.755849196831789 0.012738156529503 0.895986936726079 0.813862451947295 0.0929447007599817 0.218188463073354 1.67476420285397 0.559843410082763 0.14773209039548 0.668379669934863 0.0182362933786737 1.01416167384254 0.814163183512508 0.116146413016059 0.229181919313412 1.49250354442189 0.55761403434535 0.148734011299435 1.31996022931574 0.00851667264463241 0.9542470681812 0.853543334330291 0.0656550335138463 0.236963224245763 1.5126902219978 0.588530085925989 0.098094802259887 1.31996416732766 0.0085166975638694 0.954248114384808 0.853543614042397 0.0656550600482549 0.236963306954715 1.51269403250278 0.588530341084412 0.0980969491525424 0.00527549655772295 0.000133112195221423 0.00309915186714236 0.0037683193951943 0.000160222643170872 0.000572298314862613 0.00874775140675314 0.00181929256384809 0.000889131710222838 0.00506761100275556 0.000130469364379173 0.00449473299995533 0.00373097404244134 0.000159789587887041 0.000569751319784238 0.00849358519458039 0.00181822577274155 0.000921435715053551 0.00164205772391964 8.15305294351741e-06 0.00342760188605136 0.00159891691235577 0.000117163880128909 0.000398194940827251 0.00349437847013504 0.000947573700293777 0.000884751657225733 0.00169247733875095 8.22828135019458e-06 Inf 0.0016221126161858 0.000120731675902464 0.000412759034616094 0.0033532585410341 0.000952002712977408 0.00086943912554321 0.0141586672378731 0.000984162239075798 0.0138979959005757 0.00419887587478777 0.00288396804855589 0.00217753855425706 0.0163216113125163 0.00391068499780867 0.000701233695760889 0.0142330608096384 0.00193256707519439 0.0225773610021283 0.00464817068136791 0.00497347460217619 0.00266726418321551 0.0210358058149793 0.00412601324359534 0.000667335010591188 0.0138809410493936 0.000354057547307707 0.00805370504641623 0.00253360683500201 0.00087244395021372 0.00170990578178838 0.0173566659513446 0.00250883440714777 0.0020836735664655 0.0138811649636133 0.000354056927797975 0.00805374819696024 0.0025336046203579 0.00087244430998307 0.00170990784625741 0.0173566580099354 0.00250883632810067 0.00208364079509642
"result.7" 0.070771133532088 0.00345395061929738 0.104444487077366 0.212932286165344 0.00682001914448109 0.0237374668559201 0.333708828568184 0.105321581580502 0.28229988700565 0.0664521880530075 0.00350496413679362 0.121984212665442 0.221238440274535 0.00706804525448221 0.025276107740975 0.335817329349749 0.10782975162177 0.301880903954802 0.0423726527490622 0.00270806323226786 0.109128289361077 0.212144407382722 0.00770049052030679 0.0238064422642871 0.305776849469596 0.105717582650514 0.287493559322034 0.0395025356603517 0.00274549334741148 0.127617039355347 0.219806263134566 0.00792670528388977 0.025182585458933 0.3088448990385 0.108098521918312 0.298458757062147 2.41280365001493 0.124998454978401 2.02122440323687 1.00672415199246 0.383164900213079 0.418721512451768 3.7561743653134 0.773320611418955 0.422620225988701 1.80450778747415 0.116349583452265 2.19210411101058 1.02557364227892 0.443126487785804 0.432434416357162 3.17465794837993 0.783277421412019 0.415942485875706 4.22212164387965 0.136033405364205 1.49247539030749 0.843026569067809 0.226717940535023 0.304054234931636 3.68665532546723 0.594079517801538 0.188821468926554 4.22288348549047 0.136030601942745 1.49239811487633 0.843005162197034 0.226704425269217 0.304044927386255 3.68677363364124 0.594054941701322 0.18849197740113 0.0130283025089738 0.000472031947006883 0.00225156403837177 0.00271954942510513 0.000361457075845424 0.000685903340216742 0.0175201353267781 0.00183013030362825 0.00115417780022281 0.0128087529029571 0.000472271291638613 0.00240969013935594 0.00264280670205124 0.000364800549244354 0.000682484226252241 0.0174373080304327 0.00182280888303713 0.00112190544425926 0.00216085399987382 0.000144293680919318 0.00208094202657333 0.00141251298979833 0.000314851429800702 0.000427549565489022 0.00658196751064334 0.00104903425347513 0.00112266056029092 0.00188123069122497 0.000137217739205938 0.00243114794711575 0.00144250935908192 0.000317107641370052 0.000439548479884317 0.0063689346160622 0.0010619726226115 0.00113914633925889 0.0484823732871432 0.00266811833813916 0.0234207041138429 0.00319169329691238 0.0060710801213139 0.00233074694531431 0.0354871314178848 0.00218639383877614 0.00103501743174303 0.0393762108058975 0.00225879518435103 0.0398325149549102 0.00468682426630241 0.0110272819560883 0.00343400145020387 0.0331938341844108 0.00316898799353982 0.00101209861240227 0.0719706714345345 0.00329353686539108 0.036316452406 0.00783610521825751 0.00648452358959701 0.00542659454789472 0.050768184892407 0.00671107458608257 0.00231085241352024 0.0719198851555069 0.00329204039406639 0.0363140942839096 0.00783478218833362 0.00648499189600454 0.00542607662583154 0.0507589484023419 0.0067094380840844 0.00227120849215742
"result.8" 0.0844519636390032 0.00390378859396255 0.105189055608203 0.213744910721109 0.00721801388765825 0.0240577635143332 0.345025263070795 0.105293973076335 0.283623728813559 0.0802968200402946 0.00395277858617235 0.122258789342052 0.222201245474918 0.00751752380497731 0.0256350579880838 0.347421505257972 0.108082068464766 0.303665762711864 0.0409795489812929 0.00242813262505817 0.105642811746975 0.208840927677412 0.00662150240734595 0.0226623908073455 0.285085632705663 0.101378407730553 0.291069491525424 0.0384528026138383 0.00248447152880611 Inf 0.216911338613153 0.00687710827854868 0.0240917428081089 0.288494799036255 0.103789595369062 0.30138011299435 2.42301261052173 0.129960597606502 2.07079495124811 1.0142515688018 0.399967285340844 0.424532182057171 3.7891008612781 0.778809081374256 0.422198305084746 1.84831497715966 0.128054825681918 2.47786409952838 1.04238967950344 0.48872443806834 0.445203376639452 3.11249798349759 0.793591562291714 0.414854576271186 4.39631129755695 0.144869911546528 1.57171186554077 0.860409423477562 0.240995214506424 0.315986360003584 3.79537892068606 0.60830409233285 0.186847683615819 4.39646147281671 0.144843238940495 1.57154832702917 0.86037337495387 0.240975648966288 0.315969336935582 3.79518881267157 0.608272104270278 0.18626384180791 0.018344724586934 0.00064362002606815 0.00312603527566207 0.0034895165189037 0.000572073863265198 0.000966911568698193 0.0226063167382746 0.00248273073741671 0.00133566426358207 0.01808512228013 0.000643866286702236 0.00309556530375766 0.00338463022583785 0.000572321097467822 0.000958625026649782 0.0225157484589984 0.00246195009509691 0.00118214001307341 0.00217819737724088 0.000142071156657475 0.00169495346513473 0.00117459732632753 0.000260745088904252 0.000340471205831952 0.0063022320113586 0.00095094799074477 0.00113603245991261 0.00208375207256341 0.000143907363578445 Inf 0.00120916551209903 0.000269526331088242 0.000355928603497076 0.00631053571329195 0.000977631953570494 0.00116190851650725 0.0483117775386019 0.0026009565333003 0.0268301300293978 0.00349739670546898 0.00730453973103014 0.00258010741995606 0.0337990548027392 0.00241157030130588 0.0010962495448523 0.0360573834791836 0.00309698051706679 0.0986975936136789 0.00523200470012329 0.0126492179579794 0.00380787090893824 0.0293875952657775 0.00346941447369856 0.00108356420287316 0.0627716266719086 0.00324025263662021 0.0264300931611298 0.00585286578755702 0.00518488471775171 0.00405532312144938 0.044315227913252 0.0052934367613983 0.00212533828902555 0.0627936808517408 0.00324082081222289 0.0264244666209158 0.00585077710433001 0.00518344792957132 0.00405450351175519 0.0443268438438541 0.0052918399037057 0.00190545249921451
"result.9" 0.0652631635272758 0.0028680286828423 0.113035792175413 0.220854280483483 0.00713032910825094 0.0255663442070669 0.327150611565253 0.113764877499627 0.267570847457627 0.0604389956625898 0.00289524932990287 0.130048326098246 0.229059651754682 0.00740632030205736 0.027182539872455 0.328487903667265 0.116528833182385 0.286411525423729 0.0458016729565588 0.0025048095520892 0.118452528918172 0.222213278164254 0.0082418328984909 0.0260386136327837 0.314435981295048 0.115373507846242 0.273592994350283 0.0429692567459488 0.00253578677968564 0.135707797883144 0.229887804263679 0.00848617759918567 0.0275159843733229 0.31666300011763 0.118056052932405 0.284076836158192 2.04175694386722 0.0992072899215366 1.55735792154003 0.902705351502261 0.295316403661665 0.347329796667394 3.40280282645877 0.698384373547397 0.359337288135593 1.6184268471379 0.0936691704349695 1.59116637811257 0.906193885061052 0.324589007142739 0.349849354895401 2.95059940261034 0.697357496513905 0.355819209039548 3.2669667942795 0.0957923527305758 1.10481853651802 0.757119607007777 0.154726463494519 0.245113852721362 3.07025122103363 0.522935920586903 0.202258418079096 3.26630957412667 0.095774877511287 1.10497275071304 0.757149898529213 0.15473401709014 0.245137336595962 3.06991644733414 0.522955575723386 0.202322824858757 0.0131980255214428 0.000397980418764889 0.00291682726700376 0.00277579992130726 0.000411824474566755 0.000817296208625641 0.0160429474288472 0.00195446749911441 0.00134357663647616 0.0131430118461321 0.000399729942346468 0.00307654614012056 0.00273316302964264 0.000420816430479623 0.000819657449082876 0.0161119279299099 0.00195832116874191 0.0012436465290714 0.00176896588218298 0.000139597317911962 0.00224107669168917 0.00140912077077549 0.000332360785420886 0.000427704488455528 0.00641384464819123 0.00106775233636492 0.00110484596837277 0.00166454786005724 0.00014001508705767 0.0025267231542499 0.00142271724841841 0.000331134946250543 0.000437293525164511 0.00639233995663576 0.00106824543061566 0.00112779284000268 0.0325955205283738 0.00190288597692412 0.0140524742258388 0.00323395985362913 0.00417561259146498 0.00219613918028633 0.0279513907010772 0.00244507806115165 0.00147689191400452 0.0255022540811146 0.00190004502696556 0.0240739153264824 0.00428037332145891 0.00731342402149036 0.00295229401462339 0.0259135705798535 0.00312834706462347 0.00147345144802662 0.0612118351097276 0.00244364064268449 0.0374010313991811 0.00842306286381935 0.0057132577203899 0.00548959064924526 0.04277048310743 0.00660873777021232 0.00235484477918908 0.0612476626427688 0.00244421732240163 0.0373945975989886 0.00842284461083571 0.00571296896336155 0.00548889923490716 0.0427859713411883 0.00660914040361086 0.0022967094886015
"result.10" 0.0884385170938572 0.0036157133305802 0.114588046126109 0.224102955921964 0.00760679160550841 0.026342024816724 0.349948413345283 0.115367788005474 0.269808474576271 0.0837945968481744 0.00364393452445236 0.132390268576388 0.232376873326901 0.00790938175608387 0.0279862296872443 0.35211333679976 0.118275672952329 0.287769378531073 0.0429595387215077 0.00220722485243737 0.114798494447668 0.219204903850981 0.0071748576656009 0.0249586020960106 0.291636772681218 0.111810185877039 0.276329152542373 0.0403595601195872 0.00226137705216971 Inf 0.226749254700463 0.0073774320497343 0.0263600379475278 0.294732780239174 0.114160199510129 0.285750621468927 2.07258595822438 0.102738771621667 1.58436556724022 0.906772923333359 0.304856488406232 0.350428597022871 3.44244254062646 0.701060903864128 0.360984858757062 1.71557293050347 0.100036437171903 1.69291496300033 0.919013736405437 0.341951745048768 0.359184510784705 2.98575016592859 0.706657047859753 0.358852316384181 3.30597762846289 0.0989335798412413 1.14638598773274 0.765772257439961 0.159954119783541 0.250706845914024 3.09382683690739 0.528062880767947 0.206311525423729 3.31726730114796 0.0989562462986682 1.14361702640877 0.765078583782142 0.159446766189672 0.250253266492121 3.0959497110234 0.527326059035967 0.204297288135593 0.0180354598042561 0.000577815464416273 0.00310605342618055 0.00349999540912886 0.000548207334614224 0.000968754895014097 0.0231418180666939 0.0024278313533474 0.0014081274016103 0.0178981439917976 0.000580231571894821 0.00337334644884849 0.00340629581604817 0.000555755814840067 0.000963014613985836 0.0231021385785435 0.00241312989215385 0.00124350817351304 0.00227953487784813 0.000134831562204484 0.00188760930664221 0.0012080284994087 0.000257625795256904 0.00034880608629838 0.00662547958089253 0.000957963562937898 0.00117938019935358 0.00206758017459534 0.000136855938488934 Inf 0.00126348593783421 0.000262543023059804 0.000365119113910682 0.00670246746478152 0.00100174784741082 0.00115168728279195 0.0408942449803205 0.00237077339347975 0.0217995389078362 0.0040568587338478 0.00626687636951265 0.00279663481200807 0.0340270435747261 0.00295672707250018 0.00169022521962823 0.0335461516025436 0.00275804750088693 0.0349665988377635 0.00500537628705381 0.0084125445358495 0.00346807950796861 0.0274633159790459 0.0036364797643897 0.00171369629355776 0.0582538460331563 0.00259181106609733 0.0309187430280928 0.00724222456770654 0.00495978817511335 0.00469077759986222 0.0402532147677339 0.00586883142183681 0.0027054187187171 0.0575602229388541 0.00259335768661538 0.0305758764015832 0.00715827568742652 0.00489879994063917 0.00463383961509659 0.0403592006154202 0.00577086446301458 0.00183362817241915
